iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
35,35840,46.43551,295.5,1.0,0.94253,1.875273,-0.01141,6.576085,0.005212,524,0.06629,0.0,0.0,-0.01,0.00649,0.00031,-0.01231,0.00302,0.20814
36,36864,53.28061,296.5,1.0,0.94505,1.893001,-0.000663,7.292145,0.000771,520,0.06544,0.0,0.0,-0.01,0.00472,0.00046,-0.0087,0.00147,0.23593
37,37888,51.41579,298.5,1.0,0.94624,1.877773,0.078253,17.737547,0.000876,537,0.06803,0.0,0.0,-0.01,0.00554,0.00051,-0.01009,-0.00151,0.11965
38,38912,2.4946,359.0,1.0,0.94681,1.88589,-0.056997,11.161791,0.001147,622,0.07336,0.0,0.0,-0.01,0.00639,0.00035,-0.01164,-0.00961,0.01035
39,39936,29.79003,375.4,1.0,0.94949,1.904431,-0.000514,9.950993,0.000418,563,0.06827,0.2,1.0,-0.01,0.00672,0.00052,-0.01268,0.00177,0.19906
40,40960,50.02394,333.33333,1.0,0.95,1.917269,-0.000104,4.158161,0.001137,497,0.06381,0.0,0.0,-0.01,0.00757,0.00025,-0.01066,0.002,0.16371
41,41984,45.10693,325.0,1.0,0.95,1.905168,8.8e-05,9.813281,0.000534,515,0.06528,0.0,0.0,-0.01,0.00669,0.00059,-0.00924,0.00095,0.05184
42,43008,50.54338,361.2,1.0,0.95,1.924702,-0.001497,8.07991,0.001462,509,0.06577,0.0,0.0,-0.01,0.00611,0.00037,-0.01254,0.00099,0.28396
43,44032,50.58122,349.0,1.0,0.95,1.927538,-0.001285,4.137954,0.001207,502,0.06493,0.0,0.0,-0.01,0.00721,0.00046,-0.01076,0.00082,0.11057
44,45056,46.29347,324.0,1.0,0.95,1.900141,0.101943,14.836664,0.001658,553,0.07058,0.0,0.0,-0.01,0.00503,0.00055,-0.008,0.00026,0.22955
45,46080,29.22222,338.75,0.75,0.94,1.95447,-0.071162,13.625328,0.001922,534,0.06694,0.25,0.0,-0.01,0.0067,0.00039,-0.01141,-0.02225,0.16044
46,47104,30.32966,298.0,1.0,0.94,1.978527,-0.001187,8.842397,0.002227,532,0.06708,0.5,0.0,-0.01,0.00472,0.00045,-0.00928,-0.02432,0.09529
47,48128,44.40069,360.5,1.0,0.94,1.985607,0.078063,5.178356,0.000804,530,0.06851,0.0,0.0,-0.01,0.00578,0.00012,-0.01145,-0.00054,0.10727
48,49152,40.19926,426.0,1.0,0.96,2.0495,0.079142,4.911277,0.001196,519,0.06791,0.0,0.0,-0.01,0.00783,0.00013,-0.00823,0.00133,0.09461
49,50176,42.71678,499.0,1.0,0.96,2.043493,-0.002659,1.764781,0.004124,502,0.06441,0.0,0.0,-0.01,0.00613,0.00027,-0.00883,0.00155,0.09977
50,51200,nan,nan,0.0,0.96,2.032616,-0.01097,2.684511,0.002083,500,0.0646,0.0,0.0,-0.01,0.00683,0.00042,-0.00633,4e-05,0.0
