iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
39,39936,-22.75728,116.23077,0.0,0.0,1.61765,0.000408,10.161708,0.001678,2504,-0.01,-0.01805,0.00427,-0.00123,-0.3935,-0.00803
40,40960,-13.6347,92.33333,0.0,0.0,1.639882,-0.063039,4.790123,0.004402,2367,-0.01,-0.02935,0.00145,-0.00101,-0.17409,-0.00477
41,41984,-19.6157,98.63636,0.0,0.0,1.571334,-0.001692,9.380462,0.00207,2452,-0.01,-0.02222,0.00337,-0.00132,-0.31616,-0.00736
42,43008,-20.91761,109.57143,0.0,0.0,1.566464,-0.054331,9.126829,0.002004,2430,-0.01,-0.02175,0.00415,0.00042,-0.32782,-0.00957
43,44032,-18.64555,64.53846,0.0,0.0,1.431173,-0.002759,9.322132,0.002391,2193,-0.01,-0.02261,0.00246,-0.00176,-0.30043,-0.00816
44,45056,-24.24085,114.88889,0.0,0.0,1.422606,0.063895,5.119618,0.002971,2367,-0.01,-0.02705,0.00063,-0.00194,-0.21767,-0.00433
45,46080,-17.11688,99.0,0.0,0.0,1.508931,-0.002187,4.523188,0.003505,2225,-0.01,-0.03339,-0.00042,-0.00238,-0.15659,-0.00301
46,47104,-19.07233,150.55556,0.0,0.0,1.491954,-0.001623,5.007899,0.003593,2254,-0.01,-0.02943,-0.00105,-0.00155,-0.16283,-0.00414
47,48128,-18.88796,73.4,0.0,0.0,1.492788,-0.001518,7.640961,0.001667,2221,-0.01,-0.02621,0.00192,-0.0012,-0.29355,-0.00691
48,49152,-16.06282,104.8,0.0,0.0,1.488711,-0.098121,7.145078,0.003956,2723,-0.01,-0.02818,0.00059,-0.0012,-0.19178,-0.00597
49,50176,-23.60531,139.0,0.0,0.0,1.488515,0.021264,4.306399,0.004324,2484,-0.01,-0.03366,-0.00105,-0.00141,-0.11291,-0.00335
50,51200,-18.80384,98.6,0.0,0.0,1.396833,-0.002632,3.814189,0.00567,2632,-0.01,-0.03175,-0.00245,-0.0032,-0.10695,-0.00302
51,52224,-19.82957,277.57143,0.0,0.0,1.381456,-0.00015,5.757613,0.002781,2718,-0.01,-0.03014,-0.00172,-0.00198,-0.15211,-0.00151
52,53248,-18.46062,143.66667,0.0,0.0,1.413375,-0.026488,5.843817,0.007156,2845,-0.01,-0.03257,-0.00039,-0.00051,-0.21583,-0.0052
53,54272,-23.57765,144.0,0.0,0.0,1.429138,-0.044969,5.631571,0.004945,2899,-0.01,-0.03235,-0.00135,-0.00119,-0.17647,-0.00461
54,55296,-17.58459,148.33333,0.0,0.0,1.352683,0.003109,6.596632,0.004624,2468,-0.01,-0.02363,0.00171,-0.00087,-0.28229,-0.00526
55,56320,-25.01126,101.0,0.0,0.0,1.331194,0.003931,3.028867,0.006868,2495,-0.01,-0.03157,0.00034,-0.0011,-0.19444,-0.00362
