iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
35,35840,nan,nan,0.0,0.0,2.275254,-0.06908,0.80954,0.00393,420,0.0652,0.0,0.0,,,-0.01,0.00883,-0.00125,-0.03061,-0.00157,0.0
36,36864,nan,nan,0.0,0.0,2.320126,-0.023351,0.836869,0.002164,431,0.06766,0.0,0.0,,,-0.01,0.01028,-0.00058,-0.02997,-0.00261,0.0
37,37888,nan,nan,0.0,0.0,2.3129,-0.001872,1.039973,0.000729,442,0.07038,0.0,0.0,,,-0.01,0.01144,-0.00062,-0.02991,-0.00269,0.0
38,38912,-19.36967,600.0,0.0,0.0,2.302277,0.080068,0.672713,0.003094,411,0.06707,1.0,0.96875,,,-0.01,0.00777,-0.00064,-0.03215,-0.00097,0.0
39,39936,nan,nan,0.0,0.0,2.278627,-0.001267,1.78825,0.00081,413,0.06549,0.0,0.0,,,-0.01,0.00917,-0.00018,-0.02899,-0.00522,0.0
40,40960,nan,nan,0.0,0.0,2.332301,-0.001867,1.092999,0.000922,430,0.07002,0.0,0.0,,,-0.01,0.00982,-0.00051,-0.03043,-0.0037,0.0
41,41984,nan,nan,0.0,0.0,2.290797,0.008364,1.139853,0.001484,466,0.07711,0.0,0.0,,,-0.01,0.00854,-0.00103,-0.02483,-0.00816,0.0
42,43008,nan,nan,0.0,0.0,2.154496,-0.035247,1.676641,0.002762,630,0.10536,0.0,0.0,,,-0.01,0.00936,-0.00121,-0.0194,-0.01245,0.0
43,44032,-17.37246,600.0,0.0,0.0,2.178382,0.01689,0.754025,0.001807,415,0.06957,1.0,1.0,,,-0.01,0.00818,-0.00029,-0.02819,-0.00342,0.0
44,45056,nan,nan,0.0,0.0,2.28183,0.010436,0.725923,0.00153,426,0.07022,0.0,0.0,,,-0.01,0.00838,-0.00064,-0.02553,-0.00732,0.0
45,46080,nan,nan,0.0,0.0,2.240603,-0.001789,0.837457,0.000736,515,0.08404,0.0,0.0,,,-0.01,0.00891,-0.00113,-0.02522,-0.00795,0.0
46,47104,nan,nan,0.0,0.0,2.149856,-0.038033,0.714199,0.002902,621,0.10166,0.0,0.0,,,-0.01,0.01344,-0.00108,-0.01978,-0.00897,0.0
47,48128,-14.17718,600.0,0.0,0.0,2.098739,-0.068023,0.449234,0.00296,628,0.10712,1.0,0.80769,,,-0.01,0.01128,-0.00058,-0.01777,-0.00521,0.0
48,49152,nan,nan,0.0,0.0,2.324188,-0.001223,0.658263,0.002409,385,0.06529,0.0,0.0,,,-0.01,0.00954,-0.0006,-0.02346,-0.00576,0.0
49,50176,nan,nan,0.0,0.0,2.324674,-0.001435,0.501759,0.003544,437,0.07652,0.0,0.0,,,-0.01,0.00872,-0.00034,-0.01509,-0.01045,0.0
50,51200,-11.19288,392.0,0.0,0.0,2.057578,0.035031,0.851788,0.003698,677,0.09999,1.0,0.0,,,-0.01,0.00939,-0.00071,-0.01571,-0.01927,-0.00023
51,52224,-9.92737,486.2,0.0,0.0,2.140257,0.08093,0.666317,0.002882,660,0.09059,1.0,1.0,,,-0.01,0.01063,-0.00099,-0.01659,-0.019,-0.0012
52,53248,-12.71114,572.5,0.0,0.0,2.20694,-0.002763,0.419517,0.004347,487,0.07917,1.0,1.0,,,-0.01,0.011,-0.00035,-0.01435,-0.0193,-0.00035
53,54272,-6.27067,254.8,0.0,0.0,2.070004,-0.003873,0.429947,0.003386,641,0.09555,1.0,1.0,,,-0.01,0.00969,0.00013,-0.01506,-0.0205,-0.00117
54,55296,-6.81181,292.0,0.0,0.0,2.102102,0.062414,0.39632,0.004188,500,0.08072,1.0,1.0,,,-0.01,0.01194,0.00013,-0.01729,-0.01705,-0.00054
55,56320,0.91385,236.66667,0.33333,0.0101,2.102424,0.032888,8.99635,0.00277,690,0.09215,1.0,1.0,,,-0.01,0.00768,-0.00123,-0.01498,-0.02254,0.03463
56,57344,-6.00333,385.33333,0.0,0.01,2.094163,-0.001497,0.454935,0.000748,578,0.08668,1.0,1.0,,,-0.01,0.00794,-0.00121,-0.0239,-0.00765,-0.0004
57,58368,nan,nan,0.0,0.01,2.0341,-0.0019,0.415592,0.001022,670,0.10316,0.0,0.0,,,-0.01,0.00489,-0.00019,-0.02042,-0.01178,0.0
58,59392,-7.52351,452.5,0.0,0.01,1.949063,-0.054415,0.446898,0.001703,766,0.11241,1.0,0.0,,,-0.01,0.00627,-0.00083,-0.02096,-0.00816,-0.00027
59,60416,-11.52724,600.0,0.0,0.01,1.937577,-0.00215,0.51084,0.001017,790,0.1115,1.0,1.0,,,-0.01,0.00642,-0.00021,-0.02818,-0.00425,0.0
60,61440,-11.31319,600.0,0.0,0.01,2.004445,-0.002197,0.613397,0.000738,653,0.10301,0.5,0.875,,,-0.01,0.00651,-0.00041,-0.02574,-0.00707,0.0
61,62464,-9.21669,600.0,0.0,0.01,2.066924,-0.001959,0.644642,0.001245,546,0.08718,1.0,0.0,,,-0.01,0.00744,3e-05,-0.01981,-0.00752,0.0
62,63488,-9.09212,600.0,0.0,0.01,2.090243,-0.002455,0.50824,0.000912,636,0.09341,1.0,1.0,,,-0.01,0.0064,-0.00029,-0.02229,-0.00301,0.0
63,64512,-9.62602,434.0,0.0,0.01,1.985872,-0.0016,0.625933,0.001652,593,0.08834,1.0,0.75,,,-0.01,0.00679,0.00028,-0.01763,-0.00797,-0.0004
64,65536,-9.50369,600.0,0.0,0.01,2.07813,-0.108432,0.341805,0.001931,527,0.08649,1.0,0.0,,,-0.01,0.00618,0.0001,-0.0207,-0.00201,0.0
65,66560,-10.97663,600.0,0.0,0.01,2.08992,0.012407,0.723322,0.001527,621,0.09917,1.0,1.0,,,-0.01,0.00652,-0.00054,-0.01827,-0.01024,0.0
66,67584,-10.41951,600.0,0.0,0.01,2.005376,0.033332,0.563164,0.001788,752,0.10078,1.0,1.0,,,-0.01,0.00417,-0.00092,-0.02235,-0.00168,0.0
67,68608,-9.59909,463.5,0.0,0.01,1.939574,-0.002323,0.555344,0.001706,754,0.10268,1.0,1.0,,,-0.01,0.00831,-0.00033,-0.02084,-0.00665,-0.00025
68,69632,-8.78355,542.0,0.0,0.01,2.056659,-0.015934,0.397963,0.002675,534,0.08021,1.0,1.0,,,-0.01,0.00696,-2e-05,-0.02056,-0.00696,-0.00018
69,70656,nan,nan,0.0,0.01,2.112167,-0.106252,1.011623,0.003385,544,0.08608,0.0,0.0,,,-0.01,0.00608,0.00015,-0.01839,-0.00397,0.0
70,71680,-9.57865,600.0,0.0,0.01,2.150046,0.013652,0.354919,0.003474,611,0.09557,1.0,0.0,,,-0.01,0.00679,-0.00022,-0.01778,-0.00127,0.0
71,72704,nan,nan,0.0,0.01,2.011398,-0.001974,0.492245,0.00092,767,0.10732,0.0,0.0,,,-0.01,0.00714,-0.00082,-0.02113,-0.00183,0.0
72,73728,-10.46214,600.0,0.0,0.01,1.996363,-0.001391,0.417778,0.000819,622,0.09393,1.0,1.0,,,-0.01,0.00723,-0.00039,-0.01707,-0.0033,0.0
73,74752,-8.1096,600.0,0.0,0.01,2.027445,-0.002625,0.456982,0.002837,480,0.07891,1.0,1.0,,,-0.01,0.00753,0.00032,-0.01988,-0.00309,0.0
74,75776,-8.91857,600.0,0.0,0.01,2.076504,0.07534,0.239598,0.001968,567,0.09173,0.0,1.0,,,-0.01,0.00626,0.00017,-0.01708,-0.00067,0.0
