iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
34,34816,35.47215,94.6,1.0,0.79,1.521652,-0.001997,40.230408,0.00116,2248,0.17406,0.6,1.0,-0.01,0.00411,-0.00196,-0.01511,-0.04446,0.30469
35,35840,36.93991,220.5,0.66667,0.78,1.548383,-0.004541,40.967492,0.003215,2119,0.17523,0.33333,1.0,-0.01,0.00652,-0.00195,-0.01891,-0.09689,0.33716
36,36864,32.41424,164.75,0.75,0.78,1.547929,-0.137803,72.371151,0.003212,2086,0.16135,0.375,1.0,-0.01,0.009,-0.00065,-0.02055,-0.04063,0.39551
37,37888,25.81553,134.0,0.8,0.78,1.50688,0.007629,48.044985,0.004551,2161,0.17433,0.6,1.0,-0.01,0.00711,-0.00071,-0.01541,-0.1431,0.26327
38,38912,5.23628,171.0,0.66667,0.79,1.570095,0.011627,15.867016,0.002399,2366,0.17657,0.66667,1.0,-0.01,0.01596,-0.00209,-0.01865,-0.0633,0.08635
39,39936,-4.41065,311.4,0.4,0.77,1.635813,0.052718,10.683544,0.001547,1999,0.16066,0.6,1.0,-0.01,0.01046,-0.00191,-0.01902,-0.02325,0.07838
40,40960,10.94359,244.5,0.5,0.75,1.577555,0.046773,25.026805,0.002517,2164,0.16162,0.5,1.0,-0.01,0.00781,-0.00166,-0.01722,-0.10428,0.12467
41,41984,24.53068,166.0,0.8,0.75,1.598897,0.028036,31.526139,0.002675,2152,0.16925,0.6,0.0,-0.01,0.00993,-0.00105,-0.01586,-0.08572,0.23793
42,43008,4.95647,300.25,0.5,0.75,1.578715,-0.002369,22.317778,0.001455,2200,0.16568,0.75,1.0,-0.01,0.00446,-0.00238,-0.01646,-0.02188,0.1369
43,44032,36.28713,163.33333,1.0,0.76,1.600853,-0.000204,20.153283,0.002379,2094,0.15376,0.33333,1.0,-0.01,0.01235,-0.00219,-0.01245,-0.0535,0.15952
44,45056,21.16191,219.5,0.83333,0.76,1.582287,-0.208759,46.794744,0.001932,1944,0.14305,0.66667,1.0,-0.01,0.00877,-0.00107,-0.01725,-0.04391,0.25444
45,46080,22.05858,280.33333,0.33333,0.75,1.610949,0.004857,18.804997,0.002843,2316,0.15425,0.0,1.0,-0.01,0.0115,-0.00206,-0.01188,-0.05405,0.08395
46,47104,29.13655,209.16667,1.0,0.77,1.594511,0.095371,46.813306,0.006449,2318,0.14135,0.66667,1.0,-0.01,0.00833,-0.00119,-0.01143,-0.09607,0.37429
47,48128,-4.96565,240.14286,0.28571,0.73,1.486831,-0.104659,29.013567,0.003328,2307,0.14825,0.57143,1.0,-0.01,0.00037,0.00036,-0.01827,-0.13897,0.09651
48,49152,44.18062,139.25,1.0,0.73,1.547385,0.000518,46.649835,0.007137,2313,0.158,0.5,1.0,-0.01,0.00161,-0.00177,-0.01237,0.00857,0.29773
49,50176,-3.61086,375.0,0.0,0.73,1.571505,-0.000266,9.70933,0.001445,2765,0.16238,0.0,0.0,-0.01,-0.0055,-0.00253,-0.01372,-0.00015,0.0
50,51200,6.27443,308.4,0.4,0.7,1.566134,-0.001705,25.578593,0.000533,2582,0.1504,0.4,1.0,-0.01,0.00242,-0.00075,-0.0147,-0.10637,0.15184
51,52224,18.8947,235.33333,0.5,0.67,1.56127,0.027715,34.819003,0.003648,2256,0.15088,0.16667,1.0,-0.01,0.00252,-0.00145,-0.01317,-0.11396,0.21096
52,53248,25.43095,120.0,1.0,0.68,1.621423,0.082081,28.666578,0.001833,2096,0.14371,0.8,1.0,-0.01,0.00746,-0.00072,-0.0161,0.01027,0.26246
53,54272,17.48626,267.5,0.5,0.67,1.582124,-0.000907,19.287124,0.000692,2053,0.14673,0.25,1.0,-0.01,0.00897,-0.00179,-0.01398,0.00698,0.10919
54,55296,20.84348,131.85714,0.71429,0.67,1.518874,0.068164,38.227116,0.00235,2060,0.15673,0.42857,0.0,-0.01,0.01012,-0.00074,-0.01288,-0.14153,0.26615
55,56320,15.80396,203.5,0.5,0.65,1.55333,0.056417,45.752856,0.001313,2032,0.16355,0.375,1.0,-0.01,0.00288,-0.00028,-0.01882,-0.11255,0.25719
56,57344,29.51475,114.33333,1.0,0.66,1.574859,-0.002219,29.897163,0.003045,2347,0.18099,0.66667,1.0,-0.01,0.00149,-0.00097,-0.01621,-0.0941,0.18496
57,58368,-1.41558,263.0,0.5,0.65,1.587322,0.016231,9.563932,0.002473,2446,0.19766,0.5,0.0,-0.01,0.00726,-0.00266,-0.01688,-0.03172,0.04645
58,59392,-4.07693,340.16667,0.33333,0.63,1.604675,-0.002175,19.044991,0.001585,2255,0.18231,0.5,0.0,-0.01,0.00757,-0.00225,-0.01646,-0.0921,0.10093
59,60416,-1.64915,191.33333,0.66667,0.62,1.618568,-0.032476,15.493488,0.001177,2134,0.17692,1.0,1.0,-0.01,0.00831,-0.0014,-0.01506,-0.05788,0.10339
