iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
37,37888,20.16299,152.625,0.75,0.78,1.215354,-0.023992,23.221934,0.000216,3431,0.13093,-0.01,0.00828,-0.00388,-0.00194,-0.04236,0.29879
38,38912,36.04532,123.625,0.875,0.78,1.274691,0.037549,40.32865,0.000698,3029,0.13248,-0.01,0.00881,-0.00133,-0.00213,-0.02633,0.34605
39,39936,28.19071,111.9,0.9,0.82,1.260401,0.014814,21.51012,0.000735,3014,0.14566,-0.01,0.0108,-0.00122,-0.00168,-0.00484,0.35974
40,40960,40.2654,90.7,0.9,0.83,1.193977,-0.000562,23.169914,0.000173,2943,0.13876,-0.01,0.01101,-0.0007,-0.00189,-0.019,0.46295
41,41984,32.50701,90.28571,0.85714,0.84,1.201807,0.000239,30.646058,0.000309,2822,0.14045,-0.01,0.01129,-0.00029,-0.00159,-0.00997,0.51951
42,43008,38.83747,92.6,0.9,0.84,1.248694,-0.070342,23.032983,0.000513,2942,0.14415,-0.01,0.01118,6e-05,-0.00187,-0.00461,0.43282
43,44032,31.9918,90.9,0.8,0.83,1.095578,0.03867,27.183761,0.00106,3088,0.14941,-0.01,0.01127,-0.00142,-0.00076,-0.01976,0.3895
44,45056,36.26475,122.42857,0.85714,0.83,1.175375,0.184737,36.701228,0.00043,2896,0.14567,-0.01,0.00943,-0.00177,-0.00207,-0.03064,0.27194
45,46080,33.48485,122.0,1.0,0.85,1.213963,-0.001459,20.889062,0.000695,3099,0.16303,-0.01,0.00893,-0.00388,-0.00163,-0.02123,0.34948
46,47104,32.80249,114.15385,0.84615,0.86,1.214185,0.141217,28.929191,0.000543,2957,0.15086,-0.01,0.01216,-0.0022,-0.00112,-0.00381,0.5122
47,48128,38.23958,90.33333,1.0,0.88,1.153914,-0.000153,27.480076,0.000268,3320,0.14767,-0.01,0.01074,0.00029,-0.00093,-0.02395,0.28489
48,49152,26.47716,124.1,0.9,0.89,1.206984,0.001628,22.674172,0.001366,3486,0.14559,-0.01,0.00934,-0.00496,-0.00058,-0.0066,0.40726
49,50176,34.6114,126.875,0.875,0.89,1.280018,-0.017308,18.849207,0.000617,2987,0.1462,-0.01,0.0105,-0.00346,-0.00138,0.00334,0.31253
50,51200,42.36946,94.36364,0.90909,0.88,1.259366,-0.014128,22.50329,0.000322,2920,0.14259,-0.01,0.00918,-0.00358,-0.00143,-0.00756,0.5133
51,52224,31.8271,123.0,0.71429,0.87,1.205645,-0.000496,28.445478,0.000325,2991,0.15321,-0.01,0.00894,-0.00096,-0.00199,-0.03384,0.26281
52,53248,33.66958,118.91667,0.83333,0.87,1.157795,0.099951,27.102897,0.000367,3028,0.14646,-0.01,0.00954,-0.00111,-0.00173,-0.01856,0.52169
53,54272,40.0713,110.28571,1.0,0.88,1.213813,-0.012304,16.722282,0.000356,3130,0.15396,-0.01,0.00709,0.00033,-0.00262,0.00308,0.32089
