iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
20,20480,-4.49361,262.0,0.0,0.01429,0.905637,-0.003793,0.027149,0.001608,0.315952,0.015555,0.892088,-1.180654,2.711249,-1.300175,2.832529,4.0,0.00029805,3,619,0.23213,0.31724,0.35714,1.0,0.68,,,-0.01,0.00948,-0.00255,-0.01435,-0.0137,-0.00867
21,21504,13.48114,291.0,0.25,0.02703,1.003172,-0.003194,1.479184,0.00324,0.849356,0.04248,0.170058,-1.219497,2.796171,-0.071143,7.607903,4.0,0.00029795,4,534,0.21304,0.29653,0.36486,0.75,0.84211,,,-0.01,0.00883,-0.00366,-0.01894,-0.00141,0.12807
22,22528,18.99922,167.33333,0.33333,0.05,1.121377,-0.002571,2.120998,0.001419,1.618201,0.005685,0.158953,-0.665886,3.920955,1.677878,10.413968,4.0,0.00029785,6,559,0.20346,0.2974,0.35,0.83333,0.72727,,,-0.01,0.00892,0.00117,-0.02089,-0.01393,0.23489
23,23552,-3.94974,242.4,0.0,0.04706,0.94758,-0.004837,0.112087,0.002799,0.693277,0.037563,0.733931,3.314697,4.218458,3.283722,4.042325,4.0,0.00029775,5,520,0.20066,0.27961,0.35294,1.0,0.72,,,-0.01,0.01006,0.00178,-0.01499,-0.01161,-0.01151
24,24576,23.28077,230.4,0.4,0.06667,0.947724,-0.000902,1.415737,0.001803,1.32259,0.015974,0.128711,4.029609,3.721023,6.168807,9.593812,4.0,0.00029764,5,540,0.18675,0.28307,0.34444,0.6,0.64516,,,-0.01,0.0089,-0.00054,-0.01941,-0.00679,0.25099
25,25600,-5.89697,220.33333,0.0,0.06452,0.912818,-0.005303,0.093224,0.003139,0.865954,0.042306,0.714103,9.098104,3.897921,8.472167,4.175449,4.0,0.00029754,3,616,0.23286,0.31738,0.34409,1.0,0.63333,,,-0.01,0.00652,-7e-05,-0.02811,-0.00569,-0.00827
26,26624,-6.76091,450.0,0.0,0.06316,0.926613,-0.00739,0.040391,0.004046,0.674027,0.065499,0.794178,9.920253,3.802613,9.81598,3.774401,4.0,0.00029744,2,589,0.22242,0.31371,0.35789,0.0,0.47619,,,-0.01,0.00849,0.00178,-0.02718,0.00067,0.0
27,27648,-4.9941,345.33333,0.0,0.06122,1.102125,-0.005333,0.039684,0.00357,0.489135,0.042725,0.822864,9.659716,4.214086,9.635196,4.373751,4.0,0.00029734,3,590,0.20345,0.29297,0.36735,0.66667,0.57895,,,-0.01,0.00769,0.00187,-0.02329,-0.00159,-0.00345
28,28672,35.67605,319.0,0.6,0.09,0.926159,-0.002568,0.821332,0.002357,0.565415,0.030239,0.232794,10.100845,4.163585,13.253646,10.346047,4.0,0.00029724,5,621,0.1855,0.27312,0.35,0.4,0.61333,,,-0.01,0.00857,6e-05,-0.02204,0.0015,0.4056
29,29696,69.3603,149.33333,1.0,0.12,0.97533,-0.00346,0.660804,0.001978,0.482587,0.021624,0.274847,13.636843,5.272742,16.564312,10.720681,4.0,0.00029713,3,582,0.18391,0.27263,0.32,0.33333,0.6,,,-0.01,0.00742,-3e-05,-0.02028,0.0015,0.38253
30,30720,9.96055,335.6,0.2,0.13,0.822257,-0.001955,0.212027,0.001512,0.355322,0.008405,0.513141,15.543843,5.540489,16.193859,7.851737,4.0,0.00029703,5,584,0.18633,0.27634,0.33,0.4,0.69231,,,-0.01,0.00924,0.0014,-0.02295,0.00039,0.14434
31,31744,67.03317,186.5,1.0,0.15,1.106107,-0.002877,0.265397,0.001267,0.311763,0.014056,0.456269,18.951975,6.49747,20.608782,9.009914,4.0,0.00029693,2,577,0.19526,0.28608,0.33,0.5,0.53333,,,-0.01,0.00703,0.00077,-0.02247,0.00852,0.22731
32,32768,45.58685,231.0,0.66667,0.17,1.074555,-0.004476,0.21338,0.002726,0.489809,0.041992,0.513204,21.382044,6.813251,22.354282,9.214077,4.0,0.00029683,3,515,0.2133,0.29867,0.34,0.33333,0.46429,,,-0.01,0.00707,0.00215,-0.02951,0.00037,0.25155
33,33792,23.57424,315.8,0.4,0.19,1.1009,-0.002546,0.237842,0.002051,0.523049,0.020124,0.438554,22.048197,6.945467,23.230635,9.610071,4.0,0.00029672,5,565,0.19327,0.28053,0.34,0.2,0.61111,,,-0.01,0.00673,-0.00107,-0.03081,-0.00268,0.23775
34,34816,18.73183,272.0,0.33333,0.21,0.998274,-0.003006,0.181861,0.001808,0.281084,0.017613,0.502453,22.944889,6.306857,24.258009,9.726667,4.0,0.00029662,6,524,0.16675,0.25558,0.36,0.16667,0.58333,,,-0.01,0.00875,-0.00027,-0.02207,0.00232,0.23577
35,35840,71.14749,110.4,1.0,0.26,0.841107,-0.003209,0.285974,0.001163,0.505328,0.005894,0.410275,23.291922,6.654232,27.163601,11.947588,4.0,0.00029652,5,499,0.14707,0.2284,0.34,0.2,0.25,,,-0.01,0.0095,0.00098,-0.02004,0.00309,0.6737
36,36864,25.76177,229.0,0.4,0.28,0.770349,-0.002975,0.135942,0.002302,0.359245,0.022182,0.620993,26.718075,7.898964,27.497038,10.652949,4.0,0.00029642,5,526,0.14211,0.21695,0.35,0.6,0.88,,,-0.01,0.00773,0.00056,-0.02188,0.00316,0.29061
37,37888,-2.32346,450.0,0.0,0.28,1.109379,-0.008767,0.050832,0.005958,0.81743,0.095006,0.819105,32.376099,9.482584,31.458521,9.274311,4.0,0.00029631,1,492,0.19195,0.27602,0.36,1.0,1.0,,,-0.01,0.00539,0.00034,-0.03292,0.00296,0.0
38,38912,15.18745,382.66667,0.33333,0.29,1.207308,-0.005106,0.046591,0.003269,0.575163,0.037319,0.813771,33.230175,9.282141,33.044834,9.792797,4.0,0.00029621,3,523,0.20174,0.29245,0.37,0.33333,0.67797,,,-0.01,0.00702,-0.00027,-0.02958,0.0029,0.10499
39,39936,46.17801,340.4,0.8,0.33,1.451327,-0.003551,0.084577,0.002689,0.274939,0.023717,0.666376,35.62664,9.113372,37.331421,10.40033,4.0,0.00029611,5,542,0.20373,0.29128,0.38,0.0,0.52101,,,-0.01,0.00876,0.00497,-0.02321,0.00475,0.33599
40,40960,52.45405,106.75,0.75,0.36,1.422841,-0.004029,0.089886,0.003382,0.393142,0.032715,0.703785,37.040596,9.507464,37.926445,11.960966,4.0,0.00029601,4,505,0.1855,0.27395,0.37,0.25,0.26923,,,-0.01,0.00897,0.00403,-0.02043,0.0068,0.26636
41,41984,52.27649,183.44444,0.77778,0.42,1.085228,-0.002382,0.147905,0.00213,0.189509,0.013811,0.443936,36.36137,8.586272,38.365845,11.950931,4.0,0.0002959,9,536,0.15658,0.24994,0.34,0.55556,0.52941,,,-0.01,0.01074,0.00014,-0.01981,-0.00677,0.7705
42,43008,47.88286,126.0,0.7,0.49,1.145378,-0.002068,0.14146,0.001767,0.181127,0.011754,0.550052,37.605518,8.778088,40.173992,13.525433,4.0,0.0002958,10,514,0.14589,0.23653,0.3,0.4,0.2963,,,-0.01,0.00921,0.00552,-0.01759,0.00263,0.67156
43,44032,52.38822,143.625,0.75,0.53,0.980037,-0.002225,0.098869,0.003627,0.21146,0.028948,0.622866,38.625664,9.384406,40.718861,12.858979,4.0,0.0002957,8,529,0.14456,0.23446,0.28,0.25,0.43478,,,-0.01,0.00976,0.00614,-0.01819,0.00107,0.66169
