iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
30,30720,13.73184,97.4,0.4,0.33,2.119789,0.038933,27.616386,0.000456,2096,0.22796,1.0,0.92308,0.37762,3.25758,-0.01,0.0187,-0.00795,-0.0103,-0.00443,0.12184
31,31744,8.94427,260.33333,0.66667,0.33,2.013438,-0.000818,22.925405,0.000345,3050,0.22859,1.0,1.0,0.28442,4.23248,-0.01,-0.00207,-0.01383,-0.00522,0.00016,0.08675
32,32768,5.11889,222.0,0.2,0.32,2.079184,-0.000859,17.875197,0.000187,2429,0.21206,1.0,0.97561,0.61395,3.19485,-0.01,0.01386,-0.01155,-0.01114,0.00294,0.06518
33,33792,-3.43062,185.375,0.0,0.31,2.109556,-0.019605,1.70312,0.000288,2030,0.19924,1.0,1.0,0.57792,2.93764,-0.01,0.02866,-0.00425,-0.01194,-0.01036,-0.00424
34,34816,5.90013,88.0,0.125,0.29,2.06387,0.025266,20.02537,0.000833,2057,0.19933,0.875,1.0,0.27235,3.48641,-0.01,0.02439,-0.00538,-0.01165,-0.00736,0.08459
35,35840,10.49735,194.2,0.2,0.27,2.078409,0.003227,20.029465,0.000268,1885,0.18683,1.0,1.0,0.44218,3.08681,-0.01,0.01936,-0.00789,-0.0202,-0.00024,0.0779
36,36864,23.0923,188.2,0.6,0.29,2.071254,0.000478,44.110333,7e-05,1987,0.19901,0.6,1.0,0.39339,4.45915,-0.01,0.01274,-0.00764,-0.02395,0.00197,0.18262
37,37888,8.16312,184.16667,0.33333,0.28,2.087261,0.011577,24.559347,0.000461,1903,0.2006,0.83333,0.91892,0.27575,4.43042,-0.01,0.01988,-0.00513,-0.02132,0.0016,0.10559
38,38912,8.86119,151.5,0.3,0.27,2.146001,-0.001006,33.948746,0.000295,1611,0.20526,0.8,0.93617,0.32397,3.67339,-0.01,0.02427,-0.0051,-0.01588,0.00027,0.13168
39,39936,15.21497,120.44444,0.44444,0.31,2.136839,-0.000408,48.898785,0.000335,1756,0.20919,1.0,0.97059,0.4,3.51682,-0.01,0.02759,-0.00786,-0.02109,-0.00325,0.19116
40,40960,17.10224,104.0,0.4,0.31,2.149485,0.012089,28.157403,0.0002,1743,0.21153,0.8,0.9,0.40333,3.64622,-0.01,0.0202,-0.00582,-0.02187,0.00507,0.11904
41,41984,21.40194,154.16667,0.5,0.34,2.088586,2.6e-05,52.790129,0.000141,1945,0.20667,0.5,0.93023,0.25502,4.21847,-0.01,0.01997,-0.00619,-0.0226,0.00217,0.20884
42,43008,-3.17011,174.16667,0.0,0.32,2.074949,-0.000279,4.437095,0.000135,2168,0.22474,0.83333,1.0,0.28081,3.75105,-0.01,0.0203,-0.01054,-0.0177,-0.00531,-0.00436
43,44032,-3.05668,158.28571,0.0,0.28,2.101195,-0.005941,2.476398,0.000952,1820,0.20872,0.85714,1.0,0.26619,4.61692,-0.01,0.02196,-0.00828,-0.02044,-0.00381,-0.00357
44,45056,29.77463,193.33333,0.5,0.3,2.073051,0.015852,59.682333,0.000343,1860,0.18392,0.5,1.0,0.29614,3.71535,-0.01,0.02076,-0.00362,-0.02158,0.00608,0.25741
45,46080,11.84152,143.4,0.3,0.28,2.119004,-0.000143,50.583859,9.8e-05,1803,0.20154,0.7,0.94737,0.32093,3.39445,-0.01,0.02258,-0.0076,-0.01854,-0.00372,0.19942
46,47104,13.92772,74.6,0.4,0.28,2.107295,0.019163,22.035563,0.000338,2063,0.19775,0.8,0.94118,0.27859,4.15509,-0.01,0.02097,-0.00716,-0.01289,0.00164,0.11872
47,48128,17.08034,200.75,0.5,0.29,2.085066,-0.00018,31.225955,0.000271,2209,0.21748,0.5,1.0,0.31106,3.1298,-0.01,0.0213,-0.00773,-0.01437,0.00864,0.1186
48,49152,32.9343,192.16667,0.66667,0.33,2.07351,-0.000464,64.038362,0.000181,2222,0.20461,0.5,0.97297,0.30684,3.73874,-0.01,0.01813,-0.00958,-0.02186,0.00505,0.34213
49,50176,6.60129,180.375,0.375,0.35,2.153068,-0.000435,32.363697,8.2e-05,1908,0.19622,0.875,0.90625,0.28169,3.66351,-0.01,0.02232,-0.0072,-0.01545,-0.00306,0.10647
50,51200,7.69517,133.25,0.375,0.36,2.121019,-0.028231,34.0284,0.000285,1790,0.19788,0.875,1.0,0.37814,3.63261,-0.01,0.0271,-0.00512,-0.0176,-0.00051,0.10074
51,52224,13.65346,124.25,0.5,0.36,2.099155,0.055233,21.883742,8.4e-05,2155,0.20499,1.0,0.91667,0.38642,3.91168,-0.01,0.0162,-0.01156,-0.02033,-0.00562,0.0907
52,53248,6.91895,200.66667,0.33333,0.35,2.103964,0.023346,36.155622,0.000274,2007,0.18675,0.66667,0.95745,0.48419,2.99263,-0.01,0.02083,-0.00619,-0.01457,0.00284,0.1474
53,54272,25.18389,102.8,0.6,0.38,2.088254,-0.000207,50.909598,0.000256,2067,0.18839,1.0,1.0,0.45969,3.04667,-0.01,0.02152,-0.01036,-0.0216,0.00533,0.19765
54,55296,9.46957,194.33333,0.33333,0.37,2.097124,-0.000598,15.064035,0.0001,1934,0.19444,1.0,1.0,0.20803,4.15653,-0.01,0.01916,-0.01154,-0.02405,0.00676,0.0517
55,56320,25.16292,223.83333,0.5,0.37,2.077992,-0.000322,55.068024,0.000101,1826,0.20236,0.5,1.0,0.25109,3.9135,-0.01,0.02295,-0.01047,-0.0268,0.00218,0.22865
56,57344,19.57394,189.11111,0.44444,0.38,2.136589,-0.000384,61.13954,0.00015,1628,0.1891,0.88889,0.95789,0.36305,3.13726,-0.01,0.02407,-0.00835,-0.02157,0.00685,0.24856
57,58368,26.16794,103.0,0.75,0.39,2.091243,-0.001582,36.521307,0.000406,2052,0.20236,0.75,0.94737,0.2855,4.45975,-0.01,0.00951,-0.0087,-0.0175,0.00579,0.16767
58,59392,18.76628,95.25,0.75,0.42,1.999974,-0.000823,34.800344,0.000398,2434,0.2057,1.0,0.9375,0.25667,3.81826,-0.01,0.00512,-0.01406,-0.01834,0.00112,0.13602
59,60416,11.27016,239.44444,0.33333,0.45,2.107001,0.055876,40.250453,0.000213,1704,0.19262,0.66667,0.98305,0.35493,4.55693,-0.01,0.02221,-0.00584,-0.01896,0.00424,0.18638
60,61440,19.46619,86.75,0.375,0.44,2.098397,-0.001577,44.306668,0.000279,1632,0.19399,0.75,0.9697,0.17718,4.14093,-0.01,0.01964,-0.00589,-0.02224,0.00427,0.20035
61,62464,17.03823,138.875,0.375,0.45,2.089527,-0.000418,49.651485,0.000294,1750,0.18576,0.875,0.94595,0.36032,3.47633,-0.01,0.01748,-0.00796,-0.02542,0.00109,0.20596
62,63488,8.46578,173.33333,0.16667,0.44,2.135996,0.027661,21.732162,0.000277,1870,0.1906,0.66667,1.0,0.3941,3.44757,-0.01,0.01797,-0.01034,-0.01771,-0.00158,0.09907
