iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
33,33792,-3.54291,355.33333,0.0,0.04,1.988089,0.063756,0.370314,0.000594,1579,0.15336,0.33333,0.83333,,,-0.01,0.01074,-0.00403,-0.01957,-0.00312,-0.00054
34,34816,-5.44183,384.25,0.0,0.04,1.982648,-0.11135,0.354935,0.000578,1367,0.13746,0.25,0.85714,,,-0.01,0.01039,-0.00191,-0.01888,-0.00717,-0.00049
35,35840,10.54499,206.0,0.5,0.05,1.855217,-0.249457,39.552766,0.000376,1787,0.12765,0.5,1.0,,,-0.01,0.00934,0.00063,-0.01419,-0.00428,0.06318
36,36864,4.65562,320.5,0.25,0.06,1.954629,0.033572,17.410482,0.001544,1933,0.14101,0.75,0.66667,,,-0.01,0.01033,-0.00205,-0.01989,-0.0001,0.07236
37,37888,3.51775,367.2,0.2,0.07,2.067385,-0.000715,17.699011,0.000789,1264,0.14205,0.6,0.66667,,,-0.01,0.01011,-0.00086,-0.01787,-0.00477,0.05953
38,38912,12.42586,208.66667,0.33333,0.08,2.102624,-0.100228,29.236541,0.001023,1338,0.1457,0.66667,0.5,,,-0.01,0.01024,-0.00026,-0.01581,-0.0061,0.0778
39,39936,-3.31951,215.33333,0.0,0.08,2.131865,0.049242,0.604326,0.001861,1465,0.1518,1.0,1.0,,,-0.01,0.00921,-0.00047,-0.01343,-0.0046,-0.00155
40,40960,8.13367,333.0,0.33333,0.09,2.047704,0.000227,14.705154,0.000533,1357,0.15167,0.66667,0.66667,,,-0.01,0.0098,-0.00192,-0.02159,-0.00328,0.06132
41,41984,8.69387,316.4,0.4,0.1,2.056826,0.041914,17.599591,0.001274,1358,0.15269,0.4,0.64286,,,-0.01,0.01121,0.00043,-0.0171,-0.00307,0.1045
42,43008,-4.37037,337.0,0.0,0.1,2.044751,-0.1387,0.771,0.001355,1434,0.1624,1.0,0.33333,,,-0.01,0.00974,-0.00224,-0.01839,-0.00472,-0.00051
43,44032,16.62634,387.5,1.0,0.12,2.140103,-0.078042,21.962043,0.000816,1322,0.15572,1.0,0.54545,,,-0.01,0.00916,-0.00401,-0.02065,-0.0009,0.06968
44,45056,17.85497,386.0,1.0,0.15,2.098464,-0.056333,28.092276,0.004475,1416,0.16272,0.66667,0.59091,,,-0.01,0.0092,-0.00183,-0.02112,-0.00195,0.12294
45,46080,9.73189,376.33333,0.66667,0.17,2.099493,0.002392,19.125406,0.000592,1494,0.17121,1.0,0.6,,,-0.01,0.00861,-0.00857,-0.02441,-0.0017,0.08372
46,47104,-6.43064,398.0,0.0,0.16,2.105021,-0.001447,1.382201,0.002523,1409,0.17442,1.0,0.83333,,,-0.01,0.01042,-0.00925,-0.02268,-0.00159,-0.00051
47,48128,4.78712,220.33333,0.33333,0.17,2.0872,0.009428,9.626967,0.0006,1356,0.16774,0.66667,0.76923,,,-0.01,0.01008,-0.01067,-0.02451,-0.00583,0.04635
48,49152,-9.36513,364.33333,0.0,0.17,2.072089,-0.00103,0.887092,0.001458,1249,0.15856,1.0,0.66667,,,-0.01,0.01179,-0.00627,-0.01687,-0.00671,-0.00044
49,50176,-7.04706,450.0,0.0,0.17,1.903582,-0.001329,0.82629,0.002501,2240,0.18409,0.0,0.8,,,-0.01,0.00795,-0.01024,-0.02561,-0.00129,0.0
50,51200,-1.19854,364.25,0.25,0.18,1.980782,3.6e-05,10.65101,0.000755,1923,0.16638,0.75,0.74074,,,-0.01,0.01026,-0.00636,-0.01969,-0.00321,0.04409
51,52224,-0.13989,291.85714,0.14286,0.19,2.046507,0.018444,8.56935,0.000477,1239,0.15503,0.71429,0.75,,,-0.01,0.01133,-0.0043,-0.01625,-0.01299,0.04276
52,53248,-3.27448,176.0,0.0,0.19,1.943787,-0.099732,0.882008,0.002639,1492,0.16907,1.0,1.0,,,-0.01,0.01087,-0.00386,-0.02121,-0.00553,-0.00163
53,54272,-3.35321,121.0,0.0,0.19,1.951978,0.051519,1.119352,0.006192,1808,0.18359,1.0,1.0,,,-0.01,0.00981,-0.01528,-0.01194,-0.00553,-0.00065
