iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
39,39936,-7.28671,450.0,0.0,0.28,1.838538,0.086849,0.217115,0.003518,1562,0.13822,-0.01,0.0021,0.01136,0.00491,0.0,0.0
40,40960,3.44926,450.0,0.0,0.25,1.855709,-0.001484,0.189837,0.002269,1506,0.13714,-0.01,0.00222,0.00926,0.00402,0.0,0.0
41,41984,3.37192,450.0,0.0,0.22,1.790196,0.047961,0.184617,0.002414,1507,0.13283,-0.01,0.00229,0.01053,0.0052,-0.00037,0.0
42,43008,3.57997,450.0,0.0,0.21,1.816642,0.000345,0.178907,0.004069,1569,0.1352,-0.01,0.00142,0.01055,0.0045,0.00023,0.0
43,44032,3.43806,450.0,0.0,0.18,1.782269,-0.002551,0.162287,0.002435,1585,0.13137,-0.01,0.00245,0.00937,0.00473,0.0,0.0
44,45056,4.95771,450.0,0.0,0.17,1.740614,-0.072961,0.149428,0.005482,1601,0.134,-0.01,0.0016,0.00441,0.00499,0.00037,0.0
45,46080,-1.82341,450.0,0.0,0.15,1.771739,-0.002781,0.147632,0.002078,1569,0.13495,-0.01,0.00272,0.00252,0.0053,9e-05,0.0
46,47104,1.8173,450.0,0.0,0.14,1.799307,-0.00447,0.133708,0.004898,1573,0.13715,-0.01,0.00263,0.00597,0.00648,0.0,0.0
47,48128,2.25236,450.0,0.0,0.11,1.834604,-0.001636,0.120783,0.00159,1523,0.13647,-0.01,0.00342,0.00698,0.0064,0.00016,0.0
48,49152,1.94051,450.0,0.0,0.1,1.865389,-0.068583,0.163877,0.006937,1521,0.13545,-0.01,0.00332,0.00725,0.00622,0.0,0.0
49,50176,2.92559,450.0,0.0,0.09,1.845099,0.042443,0.141483,0.001077,1515,0.13652,-0.01,0.003,0.00143,0.00593,-0.00035,0.0
50,51200,1.31459,450.0,0.0,0.08,1.850854,-0.00109,0.165914,0.001345,1555,0.13922,-0.01,0.00382,0.00759,0.00564,4e-05,0.0
51,52224,1.44356,450.0,0.0,0.06,1.853815,0.018148,0.174217,0.002655,1615,0.14303,-0.01,0.0026,0.0101,0.00566,-0.00028,0.0
52,53248,21.71493,438.5,0.5,0.06,1.840052,-0.10159,13.870666,0.000817,1875,0.1567,-0.01,0.00263,0.0043,0.00463,-0.0232,0.05165
53,54272,26.9493,422.0,0.5,0.06,1.843224,-0.036104,12.288219,0.000328,2079,0.15754,-0.01,0.00324,-0.00252,0.00515,0.00091,0.06787
54,55296,7.25583,429.0,0.5,0.05,1.831479,-0.000734,14.797956,0.000298,2084,0.1667,-0.01,0.00297,0.00382,0.00611,-0.02725,0.06932
55,56320,-0.21432,450.0,0.0,0.05,1.82632,0.029133,0.443342,0.002139,2149,0.16469,-0.01,0.00299,0.00238,0.00521,-0.00111,0.0
56,57344,20.8141,356.5,0.75,0.07,1.775842,0.000164,22.532717,0.000853,1988,0.1638,-0.01,0.00406,0.00249,0.00536,-0.02795,0.13495
57,58368,45.37558,294.5,1.0,0.09,1.757777,0.044829,12.382016,0.003886,2089,0.17091,-0.01,0.00475,0.0052,0.0045,0.00158,0.1297
58,59392,26.40172,321.0,1.0,0.13,1.842809,0.017555,20.042656,0.000766,2001,0.16946,-0.01,0.00457,0.00273,0.00394,-0.02313,0.17779
59,60416,27.36822,284.0,1.0,0.15,1.897848,0.013902,9.623633,0.002256,2414,0.17571,-0.01,0.00313,0.01131,0.00475,0.00557,0.08881
60,61440,22.11566,336.25,0.75,0.18,1.825856,0.000316,11.995907,0.000923,1861,0.15868,-0.01,0.00401,0.00964,0.00491,0.00087,0.1295
61,62464,29.76953,241.5,0.75,0.21,1.784464,-0.017667,18.535229,0.000387,2107,0.16064,-0.01,0.00409,0.00794,0.00395,-0.02729,0.18952
62,63488,17.20511,240.16667,0.5,0.24,1.739289,-0.108557,22.228897,0.001736,1967,0.16217,-0.01,0.00494,0.00142,0.00456,-0.02015,0.16437
63,64512,-3.31502,450.0,0.0,0.24,1.678105,-0.013904,13.52316,0.000927,2365,0.17938,-0.01,0.00406,-0.00063,0.00492,-0.07593,0.0
64,65536,13.04183,364.0,0.5,0.25,1.77962,-0.0008,6.634219,0.002962,2470,0.17488,-0.01,0.00504,0.00768,0.0035,0.00544,0.05066
65,66560,16.50647,335.33333,0.83333,0.3,1.784545,0.035327,14.870959,0.000901,1764,0.15246,-0.01,0.00541,0.01068,0.0042,0.00412,0.16399
66,67584,43.96861,208.4,1.0,0.35,1.765709,0.054739,23.692615,0.001354,1807,0.16439,-0.01,0.00462,0.00984,0.00454,-0.02772,0.26156
67,68608,31.91517,221.0,1.0,0.37,1.797448,-0.000453,14.352383,0.000841,2153,0.17526,-0.01,0.00474,0.01149,0.00435,-0.04428,0.09208
68,69632,31.8347,276.0,1.0,0.4,1.813538,-0.108113,15.459865,0.000448,2442,0.17663,-0.01,0.00371,0.01075,0.00442,0.00462,0.17469
69,70656,24.03546,290.6,0.6,0.43,1.823783,0.006826,16.132497,0.000581,2152,0.16125,-0.01,0.00499,0.00279,0.00486,-0.02118,0.20684
70,71680,3.73975,331.25,0.25,0.44,1.773554,0.03671,13.027537,0.000628,2257,0.16915,-0.01,0.00567,0.00519,0.00459,-0.00236,0.05404
71,72704,45.01663,215.5,1.0,0.46,1.863298,-0.000196,18.943012,0.000371,2564,0.17748,-0.01,0.00412,-0.00016,0.00391,-0.05074,0.16127
72,73728,1.63235,450.0,0.0,0.46,1.854054,-0.001447,6.378138,0.000508,3105,0.21138,-0.01,0.00424,-0.00428,0.00294,-0.03166,0.0
73,74752,5.69782,388.4,0.4,0.48,1.807937,-0.001073,14.463122,0.000258,2460,0.184,-0.01,0.00446,0.00472,0.0044,-0.04395,0.08105
74,75776,2.48994,283.33333,0.66667,0.5,1.826218,-0.046508,14.435863,0.000869,2212,0.17116,-0.01,0.00379,0.00149,0.00387,0.00057,0.09998
75,76800,23.53902,322.5,0.75,0.53,1.809889,0.079158,27.147187,0.000437,2118,0.17142,-0.01,0.00459,0.00167,0.00497,-0.04964,0.15862
76,77824,17.25335,218.0,0.66667,0.55,1.707012,0.001812,12.465945,0.000867,2380,0.18099,-0.01,0.00562,-0.00059,0.00444,0.00206,0.11844
77,78848,11.4332,291.0,0.66667,0.57,1.753841,-0.000256,20.59474,0.004046,2484,0.18309,-0.01,0.00433,-0.00026,0.00509,-0.07302,0.07082
78,79872,11.37659,370.0,0.5,0.58,1.795611,-0.000935,10.849504,0.000806,2665,0.18996,-0.01,0.00379,0.01082,0.00534,-0.02075,0.07117
79,80896,10.29416,291.25,0.75,0.64,1.690692,0.003049,28.454037,0.001388,1951,0.16172,-0.01,0.0061,0.00596,0.00466,-0.05924,0.21165
80,81920,18.98557,156.5,0.83333,0.69,1.700515,0.001485,27.838401,0.001947,1879,0.15627,-0.01,0.00552,0.00169,0.00444,-0.04436,0.21954
81,82944,31.75616,254.5,1.0,0.69,1.697533,0.034467,32.894735,0.006402,2029,0.16369,-0.01,0.00372,0.00406,0.00404,-0.08427,0.08342
82,83968,17.55952,222.33333,1.0,0.73,1.714121,-0.000504,18.065661,0.000126,1752,0.14762,-0.01,0.00527,-0.00046,0.00436,0.00113,0.20431
83,84992,41.10445,178.33333,1.0,0.75,1.732177,0.00358,29.20042,0.003967,1805,0.15216,-0.01,0.00547,0.0075,0.00447,-0.02891,0.31177
84,86016,27.85633,170.14286,1.0,0.75,1.625485,-0.125587,28.66532,0.00056,1679,0.15302,-0.01,0.00528,-0.00052,0.00484,-0.04778,0.27579
85,87040,31.47913,180.25,1.0,0.76,1.543231,0.101469,31.283544,0.000167,1972,0.16649,-0.01,0.00488,-0.00145,0.00486,-0.032,0.21838
86,88064,4.95149,250.0,0.66667,0.76,1.641542,0.063872,18.728017,0.001566,1965,0.15601,-0.01,0.00502,-0.00415,0.00348,-0.07678,0.0625
87,89088,27.62136,227.28571,0.85714,0.78,1.708538,-0.000278,20.889652,0.000351,1728,0.14773,-0.01,0.0047,0.00354,0.00413,-0.02809,0.28456
88,90112,27.43263,181.6,0.8,0.79,1.625165,-0.000937,25.563593,0.000619,1760,0.14851,-0.01,0.00515,0.00248,0.00467,-0.07898,0.21681
89,91136,23.9853,177.57143,1.0,0.8,1.68597,-0.104316,36.112604,0.000809,1651,0.14799,-0.01,0.00555,0.00252,0.00475,-0.08456,0.29636
90,92160,21.96739,175.6,1.0,0.8,1.669654,0.151195,34.489451,0.000906,1869,0.15483,-0.01,0.00601,0.00294,0.00507,-0.07688,0.23796
91,93184,37.11013,175.5,1.0,0.81,1.688841,0.000171,18.033943,0.000668,1661,0.14581,-0.01,0.00499,0.00848,0.00436,-0.02481,0.27423
