iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
37,37888,27.28294,102.22222,0.77778,0.89,1.162233,-0.002682,28.816228,0.001182,3286,0.15227,-0.01,0.0102,-0.00123,-0.00198,-0.0386,0.33108
38,38912,41.98309,96.81818,0.90909,0.89,1.162707,0.039772,21.842601,0.001224,3058,0.13636,-0.01,0.01024,-0.00099,-0.00223,-0.00243,0.49407
39,39936,40.51998,107.55556,1.0,0.9,1.183563,-0.001935,17.011879,0.001741,3208,0.15073,-0.01,0.00953,0.00072,-0.00178,0.00595,0.39823
40,40960,38.4252,109.5,1.0,0.91,1.262123,-0.014047,12.549923,0.001618,3100,0.15747,-0.01,0.00743,-0.0024,-0.00327,0.00404,0.32899
41,41984,44.21175,116.625,1.0,0.93,1.222612,-0.001854,16.283545,0.000622,3223,0.15206,-0.01,0.00844,-0.00427,-0.00195,0.00044,0.39471
42,43008,16.06497,160.16667,0.5,0.9,1.249085,-0.002083,21.537836,0.001549,3350,0.14555,-0.01,0.0083,-0.00465,-0.00217,-0.01306,0.14491
43,44032,31.89991,106.72727,0.81818,0.88,1.227117,-0.000428,28.176124,0.000959,3146,0.14382,-0.01,0.00947,-0.00346,-0.00174,-0.02049,0.42214
44,45056,38.89162,106.5,1.0,0.9,1.225641,-0.032347,17.717487,0.001447,3290,0.15353,-0.01,0.00924,-0.00237,-0.00243,0.00127,0.46329
45,46080,35.1204,112.27273,1.0,0.91,1.222701,-0.001138,19.986795,0.000649,3259,0.15977,-0.01,0.00908,-0.00022,-0.00193,-0.01215,0.44417
46,47104,28.01125,100.71429,0.85714,0.9,1.201579,7.9e-05,29.726274,0.000974,3256,0.15686,-0.01,0.00914,-0.00349,-0.00226,-0.03728,0.2573
47,48128,24.17477,131.11111,1.0,0.91,1.286732,0.027755,19.867828,0.002456,3317,0.16028,-0.01,0.00721,-0.00695,-0.00171,-0.0142,0.32517
48,49152,35.23546,128.85714,0.85714,0.91,1.19148,-0.03942,16.809685,0.001322,3149,0.16142,-0.01,0.00764,-0.00229,-0.00193,-0.00819,0.28321
49,50176,19.771,127.44444,0.66667,0.9,1.280874,0.02534,24.137131,0.001645,3455,0.16243,-0.01,0.00755,-0.00632,-0.00181,-0.03508,0.26457
50,51200,17.54704,144.0,0.75,0.88,1.23296,0.002313,30.517761,0.001164,3459,0.16482,-0.01,0.00844,-0.00564,-0.00097,-0.03216,0.21697
51,52224,23.13701,126.66667,0.83333,0.87,1.296416,-0.000761,20.714559,0.000949,3635,0.16873,-0.01,0.00888,-0.0101,-0.00135,-0.00785,0.19133
52,53248,28.08123,129.55556,1.0,0.87,1.357048,-0.105026,18.348295,0.001674,3214,0.15576,-0.01,0.00808,-0.00494,-0.00204,-0.03985,0.33978
53,54272,34.37991,118.375,0.875,0.86,1.295077,-0.002908,16.337232,0.001926,3319,0.16323,-0.01,0.00854,-0.00502,-0.00205,-0.00558,0.32499
54,55296,34.69122,116.5,1.0,0.89,1.247125,0.021557,17.573406,0.002748,3193,0.17076,-0.01,0.00975,-0.00344,-0.0021,-0.01112,0.40851
55,56320,37.14196,123.28571,0.85714,0.9,1.328087,-0.002745,23.382324,0.00118,3202,0.16488,-0.01,0.00826,-0.00928,-0.00284,-0.0062,0.31666
56,57344,30.53747,138.75,0.875,0.89,1.26788,-5.3e-05,20.909014,0.001192,3248,0.15713,-0.01,0.00851,-0.00531,-0.00147,-0.00407,0.30416
57,58368,37.23787,125.75,1.0,0.89,1.351774,0.048749,14.360063,0.001497,3267,0.16972,-0.01,0.0091,-0.00611,-0.00163,0.00277,0.35255
58,59392,29.6188,127.625,0.875,0.88,1.295446,0.000177,22.87972,0.001208,3127,0.15554,-0.01,0.00866,-0.00857,-0.00168,-0.01228,0.28081
59,60416,39.22827,122.375,1.0,0.89,1.193473,0.107222,24.206741,0.000913,3125,0.15913,-0.01,0.009,-0.00358,-0.00128,0.00204,0.35462
60,61440,27.131,130.375,0.875,0.88,1.285602,-0.008657,16.288487,0.000836,3379,0.17354,-0.01,0.00962,-0.01057,-0.00192,-0.01021,0.28739
61,62464,24.22984,143.0,0.875,0.89,1.262476,-0.000993,22.432844,0.000474,3377,0.16943,-0.01,0.00692,-0.01011,-0.0019,-0.03194,0.29454
62,63488,15.36177,157.16667,0.5,0.9,1.301074,0.021132,18.729847,0.00078,3347,0.19048,-0.01,0.00755,-0.01871,-0.00259,-0.01465,0.14544
63,64512,26.20219,166.83333,0.83333,0.89,1.385327,0.178133,17.296105,0.002729,3218,0.17708,-0.01,0.00698,-0.0106,-0.00267,-0.00781,0.20761
64,65536,34.16026,112.14286,0.85714,0.89,1.271749,0.040764,37.51678,0.001533,3262,0.18792,-0.01,0.00963,-0.00685,-0.00083,-0.00522,0.30864
65,66560,33.41814,141.1,0.9,0.88,1.218898,0.000269,19.087742,0.000337,2944,0.1679,-0.01,0.00975,-0.00871,-0.00167,-0.0048,0.38543
66,67584,26.0924,101.11111,0.77778,0.87,1.237778,0.205771,33.84993,0.000393,2999,0.16973,-0.01,0.01038,-0.00186,-0.0025,-0.01482,0.28482
67,68608,35.2857,103.5,0.9,0.86,1.237064,-0.001472,17.207828,0.000588,2958,0.16708,-0.01,0.00928,-0.00454,-0.00178,-0.00488,0.40317
68,69632,17.08717,121.5,0.625,0.84,1.294715,-0.124694,31.424381,0.000761,3267,0.15474,-0.01,0.00899,-0.00766,-0.0016,-0.03763,0.20384
69,70656,29.53441,126.875,0.875,0.84,1.263682,-0.08366,26.674659,0.000309,3355,0.1793,-0.01,0.00759,-0.00706,-0.00189,-0.03781,0.3049
70,71680,15.80269,147.25,0.75,0.82,1.296264,-0.049742,22.30438,0.000374,3457,0.16809,-0.01,0.00841,-0.01039,-0.00128,-0.03535,0.23515
71,72704,30.26322,106.4,0.8,0.81,1.310413,-0.083286,22.851202,0.001849,3086,0.17611,-0.01,0.01027,-0.00789,-0.00187,-0.01127,0.35841
72,73728,42.52778,105.22222,1.0,0.82,1.303218,-0.000898,19.16808,0.00159,3111,0.17765,-0.01,0.00937,-0.00872,-0.0022,0.00426,0.41263
73,74752,23.16042,108.85714,0.71429,0.81,1.322982,-0.002474,36.384462,0.001391,3390,0.17119,-0.01,0.0083,-0.01299,-0.00182,-0.01637,0.21521
74,75776,28.35018,129.66667,0.77778,0.82,1.263918,-0.001606,30.655585,0.001983,3251,0.16815,-0.01,0.01028,-0.0048,-0.00169,-0.0317,0.33838
75,76800,32.37845,105.9,0.9,0.83,1.242066,0.002418,17.628452,0.001319,3446,0.18136,-0.01,0.00905,-0.00691,-0.00134,-0.00549,0.42182
76,77824,30.56484,131.5,0.875,0.82,1.275882,-0.000365,19.773522,0.000469,3216,0.16582,-0.01,0.00904,-0.01045,-0.00175,0.0018,0.29968
77,78848,15.79342,112.25,0.625,0.8,1.329934,-0.008312,32.395059,0.001987,3413,0.18405,-0.01,0.00807,-0.01032,-0.00176,-0.05159,0.20472
78,79872,35.3052,120.2,1.0,0.83,1.229833,-0.023784,15.012494,0.000869,3019,0.18896,-0.01,0.00978,-0.00788,-0.00192,0.00402,0.40182
79,80896,35.20002,120.16667,1.0,0.83,1.275589,-0.000223,16.504509,0.00132,3327,0.19481,-0.01,0.00825,-0.01305,-0.00291,-0.00029,0.25763
80,81920,16.00795,155.66667,0.66667,0.83,1.250753,-0.001098,22.082852,0.001245,3422,0.18525,-0.01,0.00821,-0.01062,-0.00187,-0.01665,0.21906
81,82944,24.67886,110.85714,0.71429,0.83,1.270744,-0.00206,22.935169,0.000675,3179,0.1875,-0.01,0.00729,-0.00719,-0.00346,-0.01234,0.2098
82,83968,30.94807,143.625,0.875,0.84,1.348212,-0.002035,26.386339,0.001739,3392,0.19376,-0.01,0.00849,-0.0137,-0.00211,-0.00704,0.31326
83,84992,21.57057,103.0,0.75,0.83,1.322233,-0.000605,24.999629,0.000619,3279,0.17471,-0.01,0.00912,-0.00462,-0.002,-0.05217,0.26055
84,86016,29.69083,117.90909,0.90909,0.82,1.267314,0.046579,26.279335,0.004271,3224,0.17528,-0.01,0.01004,-0.00764,-0.00202,-0.00492,0.40186
85,87040,41.16283,110.5,1.0,0.84,1.318497,-0.001041,21.921821,0.000509,3235,0.16803,-0.01,0.00854,-0.00599,-0.00327,0.00138,0.37775
86,88064,23.49156,126.85714,0.85714,0.85,1.285453,-0.07136,28.427082,0.00345,3704,0.16923,-0.01,0.00961,-0.00925,-0.00337,-0.01083,0.22969
87,89088,15.28887,124.0,0.66667,0.83,1.246974,-0.000855,27.639428,0.000329,3248,0.16354,-0.01,0.0087,-0.00315,-0.00225,-0.03583,0.20673
88,90112,36.89627,116.9,0.9,0.84,1.289305,-0.001791,20.895504,0.000861,3222,0.17303,-0.01,0.00945,-0.00964,-0.00176,-0.02225,0.43989
89,91136,23.59415,147.28571,0.71429,0.84,1.241553,-0.000666,18.093548,0.000634,3436,0.17608,-0.01,0.00776,-0.00585,-0.00293,-0.00717,0.24565
90,92160,32.4811,146.2,1.0,0.84,1.322678,-0.001053,13.854956,0.000876,3584,0.17839,-0.01,0.00796,-0.01713,-0.00135,0.00037,0.21745
91,93184,30.38885,156.4,1.0,0.84,1.230676,-0.203526,25.497068,0.000599,3682,0.18077,-0.01,0.00792,-0.01056,-0.00186,0.00093,0.21152
92,94208,24.79207,150.0,0.75,0.83,1.294448,-0.001195,17.175313,0.000466,3210,0.16023,-0.01,0.00874,-0.01012,-0.00196,-0.0055,0.24716
93,95232,38.42972,128.90909,0.90909,0.84,1.27071,-0.001294,18.188316,0.000783,3181,0.15656,-0.01,0.01007,-0.00641,-0.00188,0.0035,0.48759
94,96256,33.96175,103.5,0.875,0.86,1.262844,-0.00037,23.367234,0.002048,3227,0.15686,-0.01,0.00868,-0.00898,-0.00213,-0.00485,0.30972
95,97280,38.09244,129.44444,1.0,0.88,1.156613,0.032142,20.4886,0.001173,3301,0.15168,-0.01,0.00876,-0.00647,-0.00183,-0.01343,0.41624
96,98304,23.32475,147.66667,0.66667,0.87,1.18412,-2.8e-05,24.557249,0.001471,3516,0.16434,-0.01,0.00942,-0.00666,-0.00182,-0.00728,0.20966
97,99328,27.17038,144.83333,0.83333,0.86,1.295636,-0.000965,21.02276,0.000915,3480,0.17152,-0.01,0.00857,-0.021,-0.00168,-0.00422,0.21217
98,100352,32.22298,125.63636,0.90909,0.86,1.159707,-0.031967,20.77724,0.000982,3132,0.15536,-0.01,0.00882,-0.00777,-0.00168,-0.00696,0.42535
99,101376,35.65562,109.18182,0.90909,0.87,1.186765,-0.023607,20.497669,0.002457,2967,0.15258,-0.01,0.00957,-0.00544,-0.00191,-0.00466,0.44875
