iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
40,40960,7.54345,25.82051,0.35897,0.44,1.0261,-0.001351,33.052057,0.001014,3201,-0.01,0.01643,0.01487,-0.00469,0.00626,0.35874
41,41984,11.44774,27.74074,0.44444,0.41,1.257449,-0.000571,31.765307,0.001028,3604,-0.01,0.01156,0.00968,-0.00555,0.01248,0.39482
42,43008,11.96194,39.22222,0.62963,0.44,1.16801,-0.001602,37.042118,0.001537,3781,-0.01,0.01167,0.0086,-0.00536,0.023,0.43169
43,44032,13.04124,36.93103,0.58621,0.54,1.258764,-0.092248,37.185992,0.001577,3283,-0.01,0.0131,0.0101,-0.00562,0.01999,0.43359
44,45056,11.40748,33.63889,0.5,0.54,1.107081,-0.001084,36.888859,0.003708,3138,-0.01,0.01777,0.01351,-0.00431,0.02018,0.46986
45,46080,13.16096,29.05405,0.56757,0.55,0.978692,-0.106435,55.921761,0.00077,3051,-0.01,0.01788,0.01398,-0.00281,0.02517,0.58643
46,47104,10.30923,23.62069,0.51724,0.53,1.261679,-0.038447,30.756138,0.003666,3398,-0.01,0.01276,0.00936,-0.00579,0.00598,0.34863
47,48128,10.09405,46.64516,0.51613,0.55,1.045227,-0.040283,34.625283,0.000771,3345,-0.01,0.01404,0.01365,-0.00335,0.01995,0.39773
48,49152,11.99116,24.36,0.68,0.57,1.100517,0.008625,39.04851,0.002691,3904,-0.01,0.01401,0.0107,-0.00444,0.02133,0.44933
49,50176,10.17738,41.07407,0.55556,0.56,1.105377,0.034155,34.247764,0.002492,3869,-0.01,0.01314,0.01225,-0.00376,0.01834,0.39197
50,51200,13.10673,30.95745,0.57447,0.6,0.834519,-0.064864,62.790486,0.002554,3214,-0.01,0.02206,0.01965,-0.0026,0.02986,0.74021
51,52224,12.86704,21.0,0.55,0.57,0.720065,0.033012,56.527328,0.000352,3285,-0.01,0.02092,0.01617,-0.00297,0.02624,0.63505
52,53248,10.21763,25.65714,0.45714,0.5,0.952769,-0.006814,39.593273,0.001312,3674,-0.01,0.02083,0.01561,-0.00338,0.01227,0.51989
53,54272,10.96505,36.40541,0.54054,0.51,0.903779,-0.002024,45.996175,0.000402,3398,-0.01,0.01903,0.01697,-0.0033,0.02302,0.52953
54,55296,14.60622,23.94444,0.55556,0.52,0.907704,-0.000383,44.742293,0.000504,3217,-0.01,0.01895,0.01514,-0.00415,0.0303,0.65122
55,56320,12.97227,30.80556,0.61111,0.57,0.974526,-0.000276,42.273253,0.003986,3284,-0.01,0.01803,0.01267,-0.00367,0.02361,0.58828
56,57344,10.7705,23.22857,0.45714,0.55,0.958286,0.000725,37.515115,0.002686,3297,-0.01,0.01606,0.01308,-0.00285,0.01592,0.44951
57,58368,9.13736,32.29032,0.48387,0.51,0.964334,-0.000317,40.834174,0.001175,3567,-0.01,0.01461,0.01229,-0.00191,0.01139,0.40646
58,59392,13.66113,29.65,0.6,0.52,0.883692,0.002031,49.819149,0.001883,3157,-0.01,0.01619,0.01676,-0.00271,0.0283,0.71387
