iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
11,11264,-5.22729,189.0,0.0,0.0,1.239797,-0.004978,0.026438,0.004163,0.232544,0.064383,0.938198,-3.287848,3.32412,-3.346091,3.486193,4.0,0.00029898,5,950,0.22859,0.32379,0.34286,nan,1.0,0.55,,,-0.01,0.00998,-0.00076,-0.01486,-0.01678,-0.01758
12,12288,-5.52055,157.0,0.0,0.0,1.035163,-0.00423,0.022341,0.002031,0.223103,0.026716,0.949312,-3.168819,3.329265,-3.259583,3.529652,4.0,0.00029887,4,996,0.22522,0.32087,0.30769,nan,1.0,0.67857,,,-0.01,0.00992,-0.0033,-0.01719,-0.01438,-0.01623
13,13312,-5.24359,356.0,0.0,0.0,0.841076,-0.003466,0.01024,0.001373,0.217675,0.012486,0.975377,-3.148138,3.344507,-3.169143,3.430054,4.0,0.00029877,3,1049,0.21273,0.30028,0.33333,nan,0.33333,0.7561,,,-0.01,0.00885,-0.00538,-0.01155,-0.01262,-0.00492
14,14336,-5.42654,288.2,0.0,0.0,1.293084,-0.004774,0.027085,0.003052,0.238686,0.026088,0.939265,-3.650252,3.319797,-3.773183,3.58903,4.0,0.00029867,5,951,0.23607,0.32069,0.34043,nan,0.8,0.71875,,,-0.01,0.00889,-0.00092,-0.01811,-0.01055,-0.00971
15,15360,-4.77562,450.0,0.0,0.0,0.928476,-0.002562,0.026646,0.000714,0.229679,0.003662,0.917624,-3.422133,2.958964,-3.504267,3.008965,4.0,0.00029857,1,1014,0.21426,0.3076,0.35417,nan,1.0,0.72222,,,-0.01,0.00882,0.00049,-0.01846,-0.01718,0.0
16,16384,-6.27294,241.6,0.0,0.0,1.208714,-0.004132,0.036894,0.002157,0.235317,0.025426,0.911738,-3.9956,3.223734,-4.153248,3.49129,4.0,0.00029846,5,957,0.21841,0.31337,0.32075,nan,1.0,0.68293,,,-0.01,0.00732,0.0009,-0.02051,-0.01323,-0.01704
17,17408,-7.446,292.6,0.0,0.0,1.044412,-0.004671,0.023844,0.002887,0.310425,0.037667,0.945297,-3.948232,3.343049,-3.94285,3.593198,4.0,0.00029836,5,948,0.21894,0.31719,0.32759,nan,1.0,0.67647,,,-0.01,0.00954,0.00205,-0.01992,-0.01293,-0.01149
18,18432,-5.34783,165.28571,0.0,0.0,1.162619,-0.00549,0.028844,0.00395,0.266381,0.050223,0.926305,-3.687898,3.565573,-3.676615,3.46483,4.0,0.00029826,7,861,0.21808,0.31992,0.29231,nan,1.0,0.54286,,,-0.01,0.00983,0.00049,-0.01521,-0.02522,-0.02434
19,19456,-5.22948,164.57143,0.0,0.0,1.124067,-0.005316,0.024008,0.003257,0.263124,0.039446,0.915775,-3.682303,3.069369,-3.602684,2.947333,4.0,0.00029816,7,906,0.2185,0.32346,0.27778,nan,0.85714,0.65,,,-0.01,0.01335,-0.0021,-0.01075,-0.02637,-0.02182
20,20480,-4.24435,120.6,0.0,0.0,0.956426,-0.004855,0.017247,0.001906,0.306149,0.017997,0.926071,-3.401671,2.768413,-3.285034,2.627263,4.0,0.00029805,5,957,0.19939,0.28485,0.25974,nan,1.0,0.55,,,-0.01,0.01235,-0.00072,-0.00968,-0.01724,-0.02121
21,21504,8.1418,117.16667,0.16667,0.01205,0.896919,-0.001747,1.633983,0.00308,0.792859,0.041051,0.121941,-3.333943,2.648526,-2.180388,7.537842,4.0,0.00029795,6,968,0.18571,0.28845,0.24096,0.0,1.0,0.51852,,,-0.01,0.01185,3e-05,-0.01333,-0.02079,0.12957
22,22528,4.53254,200.375,0.125,0.02198,1.027677,-0.000748,1.419574,0.002405,0.892301,0.020612,0.164935,-1.943573,3.243256,-0.489977,7.76205,4.0,0.00029785,8,929,0.19435,0.29906,0.24176,0.0,1.0,0.80357,,,-0.01,0.01203,0.00083,-0.01544,-0.02968,0.11544
23,23552,-4.27852,174.4,0.0,0.02083,1.013631,-0.003445,0.062598,0.002368,0.287128,0.025181,0.639276,-0.265842,3.304247,-0.082519,2.709328,4.0,0.00029775,5,901,0.18534,0.28831,0.23958,0.0,1.0,0.68,,,-0.01,0.01088,0.00379,-0.01139,-0.02011,-0.01498
24,24576,-4.64969,137.25,0.0,0.02,0.55768,-0.005384,0.030481,0.002405,0.352675,0.040423,0.750378,0.441201,2.240741,0.195471,2.16359,4.0,0.00029764,4,1067,0.17593,0.26798,0.23,0.0,1.0,0.7619,,,-0.01,0.01038,-0.00085,-0.01399,-0.02277,-0.02685
25,25600,-4.47706,223.5,0.0,0.02,0.698383,-0.004755,0.021802,0.002295,0.278497,0.026263,0.834433,0.175634,2.067411,-0.031678,2.159036,4.0,0.00029754,4,1051,0.1752,0.26454,0.2,0.0,0.75,0.60714,,,-0.01,0.01102,-0.00352,-0.01706,-0.01681,-0.01617
26,26624,11.10395,311.0,0.2,0.03,0.778915,-0.002423,1.228202,0.001972,0.720255,0.020578,0.115631,-0.174382,1.972807,1.06939,7.385902,4.0,0.00029744,5,1015,0.18482,0.2715,0.19,0.0,0.8,0.75,,,-0.01,0.01116,-0.00206,-0.01462,-0.01297,0.16463
27,27648,-4.60623,104.0,0.0,0.03,0.727003,-0.003275,0.056673,0.00145,0.340367,0.020054,0.700236,0.478142,2.758105,0.150264,2.581843,4.0,0.00029734,4,1017,0.21214,0.29129,0.19,0.0,1.0,0.85714,,,-0.01,0.01029,0.00255,-0.01615,-0.01919,-0.02024
28,28672,-3.97369,234.2,0.0,0.03,0.849834,-0.005179,0.043492,0.002687,0.311075,0.032854,0.755193,0.378073,2.718915,0.185576,2.717808,4.0,0.00029724,5,964,0.2006,0.29701,0.18,0.0,1.0,0.875,,,-0.01,0.01071,0.00105,-0.01813,-0.02324,-0.01254
29,29696,-4.41971,247.0,0.0,0.03,0.772428,-0.003812,0.030278,0.002466,0.357467,0.031529,0.80662,0.442505,2.486191,0.130469,2.5043,4.0,0.00029713,6,989,0.20193,0.2886,0.2,0.0,1.0,0.66667,,,-0.01,0.01259,0.00235,-0.01645,-0.0143,-0.01798
30,30720,6.18169,209.33333,0.16667,0.04,0.852066,-0.001795,0.980151,0.003031,0.509055,0.046352,0.071314,0.210296,2.004669,1.031602,6.662275,4.0,0.00029703,6,961,0.19032,0.27691,0.2,0.0,1.0,0.4375,,,-0.01,0.011,0.0041,-0.01333,-0.0278,0.12038
31,31744,7.68666,219.16667,0.16667,0.05,0.713598,-0.000709,0.954062,0.000887,0.653636,0.001918,0.233086,0.655147,2.457717,1.63087,7.426374,4.0,0.00029693,6,1004,0.171,0.24242,0.21,0.0,1.0,0.5,,,-0.01,0.01228,0.00161,-0.01166,-0.02459,0.15572
32,32768,-3.9538,119.16667,0.0,0.05,0.944829,-0.003073,0.093798,0.001908,0.315177,0.025356,0.745204,2.044534,4.439149,2.1322,4.185258,4.0,0.00029683,6,946,0.2021,0.29833,0.19,0.0,1.0,0.71429,,,-0.01,0.01481,-0.001,-0.01081,-0.02065,-0.02384
33,33792,13.49385,166.5,0.25,0.06,0.784074,-0.001491,0.735567,0.001957,0.831093,0.016811,0.327127,2.650246,3.552299,3.739267,7.292116,4.0,0.00029672,4,1001,0.21514,0.30113,0.18,0.0,1.0,0.66667,,,-0.01,0.01206,0.00087,-0.0157,-0.01355,0.14084
34,34816,12.79283,187.375,0.25,0.08,0.951122,-0.001648,1.249768,0.002074,1.587229,0.019322,0.399332,3.553378,5.476487,5.378708,10.819732,4.0,0.00029662,8,954,0.19175,0.28611,0.15,0.0,1.0,0.42105,,,-0.01,0.01157,0.00119,-0.01459,-0.01719,0.24007
35,35840,6.36428,153.71429,0.14286,0.09,0.758776,-0.001262,0.54192,0.001349,0.804904,0.011858,0.564681,4.864314,6.367607,5.965888,9.132943,4.0,0.00029652,7,988,0.19939,0.28798,0.15,0.0,1.0,0.75,,,-0.01,0.01374,-0.00072,-0.00968,-0.02604,0.14138
36,36864,5.64094,83.0,0.125,0.1,0.834473,-0.001675,0.592004,0.00113,0.776719,0.008371,0.573434,6.317197,7.984514,7.489004,10.028188,4.0,0.00029642,8,974,0.17587,0.2797,0.14,0.0,1.0,0.23077,,,-0.01,0.01426,0.00065,-0.01427,-0.02527,0.12507
37,37888,-3.88331,154.16667,0.0,0.1,0.854613,-0.003493,0.160853,0.002711,0.83732,0.036586,0.705495,8.547949,7.045301,7.883044,6.558439,4.0,0.00029631,6,944,0.19712,0.29349,0.15,0.0,1.0,0.6,,,-0.01,0.01346,0.00213,-0.01279,-0.02707,-0.0219
38,38912,2.45369,150.72727,0.09091,0.1,0.993688,-0.00116,0.476526,0.003008,0.325983,0.023438,0.523301,6.382082,6.116817,7.065173,9.359014,4.0,0.00029621,11,916,0.18799,0.29173,0.15,0.0,0.81818,0.65714,,,-0.01,0.01347,0.00129,-0.01772,-0.02495,0.10088
39,39936,-4.05713,101.5,0.0,0.09,0.930286,-0.003126,0.140771,0.002705,0.675148,0.03118,0.753616,7.58498,6.835144,7.100116,6.923659,4.0,0.00029611,6,956,0.22013,0.3219,0.15,0.0,1.0,0.63636,,,-0.01,0.01105,0.00444,-0.01795,-0.01748,-0.02323
40,40960,15.48871,184.0,0.28571,0.11,1.056268,-0.00274,0.580189,0.001923,0.666826,0.020368,0.46991,6.394877,5.878979,7.723367,10.531862,4.0,0.00029601,7,913,0.22625,0.32988,0.14,0.0,0.85714,0.5,,,-0.01,0.01114,0.0045,-0.01499,-0.01387,0.21497
41,41984,20.79153,108.33333,0.33333,0.13,0.994592,-0.003917,0.505782,0.002634,0.478009,0.026263,0.656273,10.183329,9.597236,11.437332,13.164108,4.0,0.0002959,6,932,0.22536,0.31888,0.12,0.0,0.66667,0.25,,,-0.01,0.0115,0.00158,-0.0213,-0.01369,0.23557
42,43008,-5.17395,118.57143,0.0,0.12,0.918616,-0.003084,0.11204,0.001876,0.686974,0.018171,0.921922,11.423677,12.701292,10.937292,12.809237,4.0,0.0002958,7,968,0.23184,0.32418,0.11,0.0,0.85714,0.35,,,-0.01,0.0108,0.00044,-0.01992,-0.02091,-0.02329
43,44032,-4.1109,218.4,0.0,0.12,0.924677,-0.002667,0.158596,0.001389,0.668142,0.013463,0.873609,14.307023,13.31154,14.251371,12.932293,4.0,0.0002957,5,987,0.2384,0.3304,0.1,0.0,1.0,0.78947,,,-0.01,0.01066,0.00029,-0.02653,-0.00721,-0.01538
44,45056,40.59997,174.0,0.6,0.15,0.879677,-0.002112,0.463224,0.001214,0.655991,0.010568,0.66558,16.459261,12.242109,19.387865,14.957508,4.0,0.0002956,5,1001,0.22561,0.31675,0.1,0.0,0.6,0.4,,,-0.01,0.01017,0.00103,-0.02478,-0.00625,0.41592
45,46080,23.66055,211.0,0.4,0.16,0.816778,-0.002115,0.284721,0.001499,0.379477,0.014858,0.702501,16.498585,11.036523,18.327753,12.939967,4.0,0.00029549,5,996,0.21034,0.30091,0.09,0.0,1.0,0.7037,,,-0.01,0.01329,0.00033,-0.02715,-0.00641,0.28412
46,47104,36.81832,229.57143,0.57143,0.2,0.872569,-0.001456,0.390068,0.001387,0.634699,0.007254,0.577654,19.192942,9.593814,23.362188,13.557895,4.0,0.00029539,7,972,0.18428,0.26643,0.11,0.0,1.0,0.5,,,-0.01,0.0144,0.00085,-0.0196,-0.00597,0.53414
47,48128,57.07539,124.66667,0.83333,0.24,0.942825,-0.002492,0.323492,0.002365,0.719015,0.023124,0.703174,22.383806,12.287465,26.390654,15.932053,4.0,0.00029529,6,955,0.19431,0.28037,0.1,0.0,0.83333,0.7,,,-0.01,0.00974,0.00209,-0.01907,-0.0017,0.61444
48,49152,46.26056,165.16667,0.66667,0.27,0.939935,-0.003361,0.191743,0.002718,0.544161,0.030273,0.785048,25.309294,13.420856,28.037186,16.216442,4.0,0.00029519,6,957,0.18333,0.26197,0.11,0.0,0.5,0.77778,,,-0.01,0.01025,0.00075,-0.02023,0.0001,0.49358
49,50176,41.46826,178.0,0.6,0.3,0.8922,-0.003138,0.100668,0.002778,0.254861,0.030169,0.869169,27.44311,14.646875,29.425289,16.846498,4.0,0.00029508,5,974,0.18093,0.27523,0.12,0.0,0.2,0.75,,,-0.01,0.00984,0.00076,-0.0173,-0.00125,0.39435
50,51200,24.29624,175.4,0.4,0.3,0.888037,-0.002176,0.181902,0.001836,0.334695,0.015451,0.736065,31.659863,14.633131,32.781986,15.79605,4.0,0.00029498,5,971,0.15729,0.24245,0.13,0.0,0.6,0.41176,,,-0.01,0.01343,0.00112,-0.01712,-0.00078,0.25363
51,52224,50.6314,209.85714,0.71429,0.34,0.718121,-0.003224,0.119181,0.002029,0.388934,0.015172,0.799405,36.765484,14.21945,39.371418,15.240941,4.0,0.00029488,7,1037,0.14658,0.23433,0.14,0.0,0.57143,0.65217,,,-0.01,0.01174,0.00352,-0.01613,0.00294,0.8056
52,53248,52.12371,116.25,0.75,0.36,0.84669,-0.002915,0.094128,0.0027,0.561331,0.034005,0.802964,41.477478,12.968013,42.518948,14.469841,4.0,0.00029478,4,992,0.15439,0.24227,0.14,0.0,0.5,0.33333,,,-0.01,0.01235,0.00406,-0.01724,0.00055,0.40547
53,54272,43.00666,243.25,0.625,0.41,1.114482,-0.004012,0.067833,0.00332,0.43903,0.03261,0.803245,46.300529,13.473138,48.683498,13.407074,4.0,0.00029468,8,919,0.15785,0.24649,0.16,0.0,0.75,0.37838,,,-0.01,0.01269,0.00404,-0.0209,0.00551,0.51652
54,55296,60.14519,103.57143,0.85714,0.46,0.982756,-0.002826,0.082088,0.002141,0.560291,0.020857,0.73727,47.919727,11.082211,48.698261,13.310909,4.0,0.00029457,7,935,0.17126,0.26545,0.14,0.0,0.28571,0.47368,,,-0.01,0.01093,0.00404,-0.0249,-0.00272,0.69287
55,56320,69.39589,137.0,1.0,0.48,0.847553,-0.004846,0.026727,0.002852,0.647987,0.03683,0.914651,49.409885,12.410711,48.86919,12.596558,4.0,0.00029447,2,999,0.20872,0.29505,0.14,0.0,0.5,0.33333,,,-0.01,0.00921,0.00353,-0.03008,-0.00144,0.27708
56,57344,51.64136,266.0,0.8,0.52,0.844344,-0.002413,0.035461,0.002321,0.270367,0.029785,0.797132,46.460339,10.556994,47.875782,11.137767,4.0,0.00029437,5,981,0.16706,0.25711,0.15,0.0,0.2,0.35417,,,-0.01,0.01154,0.00598,-0.02325,0.00112,0.49749
57,58368,38.3227,198.57143,0.57143,0.54,0.799605,-0.001968,0.053337,0.003024,0.405158,0.027553,0.753731,47.734131,10.494801,47.349545,12.477469,4.0,0.00029427,7,965,0.16126,0.24664,0.17,0.0,0.57143,0.35821,,,-0.01,0.01131,0.00242,-0.02278,0.00246,0.52674
58,59392,51.77781,208.25,0.75,0.57,0.91735,-0.003661,0.024874,0.002362,0.386712,0.019113,0.885713,54.225277,12.843373,54.908997,13.137783,4.0,0.00029416,4,965,0.14896,0.24221,0.18,0.0,0.25,0.33333,,,-0.01,0.01056,0.00497,-0.02675,0.00503,0.3527
59,60416,57.84269,153.28571,0.85714,0.61,1.037116,-0.002041,0.034094,0.001532,0.460655,0.016567,0.845153,57.03553,12.609813,57.087566,13.282567,4.0,0.00029406,7,942,0.15307,0.23856,0.18,0.01316,0.57143,0.44643,,,-0.01,0.00934,0.00496,-0.02257,0.0037,0.63189
60,61440,49.45189,251.25,0.75,0.64,1.160414,-0.003849,0.020992,0.00369,0.508289,0.040213,0.834519,60.337643,10.406079,59.722752,10.189197,4.0,0.00029396,4,897,0.17113,0.26178,0.18,0.01266,0.5,0.51852,,,-0.01,0.00726,0.00493,-0.0265,0.00315,0.29032
61,62464,-3.6861,138.0,0.0,0.64,1.301114,-0.003387,0.030479,0.004342,0.630229,0.053467,0.802071,61.718819,9.279329,59.621677,11.522401,4.0,0.00029386,1,905,0.1744,0.26179,0.18,0.01266,1.0,0.5,,,-0.01,0.00659,0.00742,-0.02849,0.00027,-0.00269
62,63488,26.54725,379.0,0.5,0.66,1.255248,-0.004507,0.011313,0.004653,0.510692,0.053781,0.890576,59.231201,9.067672,58.051785,9.155654,4.0,0.00029375,4,897,0.17255,0.27374,0.19,0.01235,0.75,0.26733,,,-0.01,0.00666,0.00833,-0.02712,-0.00104,0.17779
63,64512,55.71188,399.5,1.0,0.67,1.107481,-0.005035,0.011303,0.003692,0.518381,0.053432,0.909393,58.54319,9.970861,57.008305,10.330752,4.0,0.00029365,2,915,0.16375,0.26166,0.19,0.01205,0.0,0.30159,,,-0.01,0.00601,0.0073,-0.02811,-0.00082,0.18341
64,65536,25.61836,408.0,0.5,0.67,1.136099,-0.005931,0.006086,0.003697,0.465218,0.050502,0.961403,56.626453,10.90085,55.352325,11.108114,4.0,0.00029355,2,915,0.16533,0.25232,0.19,0.0119,0.0,0.45283,,,-0.01,0.00558,0.00801,-0.02728,0.00049,0.09341
65,66560,-4.20264,450.0,0.0,0.66,1.261153,-0.006292,0.007353,0.00417,0.451222,0.05814,0.952862,54.741611,11.53954,53.157566,11.806263,4.0,0.00029345,1,911,0.16657,0.26135,0.2,0.0119,1.0,0.23529,,,-0.01,0.00603,0.01068,-0.02554,-0.00147,0.0
66,67584,-7.22328,450.0,0.0,0.65,1.394782,-0.004609,0.005273,0.004274,0.434937,0.052769,0.965911,56.191902,11.330075,54.785091,11.814184,4.0,0.00029334,4,850,0.15511,0.24502,0.23,0.0119,0.75,0.2782,,,-0.01,0.00571,0.01178,-0.02195,-0.00015,0.0
67,68608,13.82539,441.0,0.33333,0.64,1.648571,-0.004096,0.005053,0.003739,0.415557,0.042864,0.953827,58.016308,9.509703,56.754803,10.1476,4.0,0.00029324,3,821,0.15762,0.24197,0.25,0.01176,0.33333,0.22034,,,-0.01,0.00605,0.00926,-0.02251,0.0,0.06262
68,69632,nan,nan,0.0,0.64,1.723289,-0.003787,0.003597,0.004413,0.453899,0.055141,0.973493,57.101986,10.132113,55.585438,11.000477,4.0,0.00029314,0,827,0.16638,0.26273,0.25,0.01176,0.0,0.0,,,-0.01,0.00633,0.01183,-0.02269,0.0,0.0
69,70656,8.66028,440.5,0.25,0.63,1.685286,-0.004581,0.005065,0.005238,0.389767,0.065151,0.958696,55.89212,10.986894,54.731934,11.602901,4.0,0.00029304,4,806,0.15125,0.24217,0.26,0.01163,0.0,0.25243,,,-0.01,0.00638,0.01072,-0.02287,0.00046,0.062
70,71680,24.05026,450.0,0.5,0.63,1.620564,-0.003972,0.008071,0.003882,0.380775,0.046352,0.941401,56.160236,12.119717,54.680752,12.621323,4.0,0.00029293,2,812,0.14563,0.22743,0.27,0.01149,0.0,0.15238,,,-0.01,0.00711,0.00724,-0.02207,-0.00186,0.06138
71,72704,-5.559,450.0,0.0,0.61,1.484924,-0.005184,0.011262,0.004885,0.433519,0.060965,0.931124,53.968452,13.428589,51.852818,13.838059,4.0,0.00029283,2,832,0.16042,0.2464,0.29,0.01149,0.5,0.17978,,,-0.01,0.00593,0.00915,-0.02342,-0.0035,0.0
72,73728,14.67292,409.66667,0.33333,0.6,1.140743,-0.006789,0.009031,0.003579,0.322582,0.047189,0.947874,47.679565,14.573784,46.297241,14.713147,4.0,0.00029273,3,886,0.15773,0.24807,0.31,0.01136,0.66667,0.16814,,,-0.01,0.00591,0.012,-0.02255,-0.00221,0.09156
73,74752,-7.7987,424.5,0.0,0.58,1.344044,-0.00336,0.014076,0.005313,0.333326,0.071115,0.919588,49.97208,13.806093,48.077812,14.872862,4.0,0.00029263,2,855,0.15764,0.25774,0.32,0.01136,1.0,0.15152,,,-0.01,0.00544,0.01684,-0.0231,0.00063,-0.00246
74,75776,-6.57659,450.0,0.0,0.56,1.359121,-0.005367,0.013076,0.003815,0.383707,0.043108,0.924744,47.847492,14.546122,45.611816,14.638893,4.0,0.00029252,3,817,0.16016,0.25563,0.34,0.01136,1.0,0.17094,,,-0.01,0.006,0.0128,-0.02326,-0.00498,0.0
75,76800,-4.2648,450.0,0.0,0.55,1.231871,-0.005935,0.007773,0.003285,0.33948,0.033622,0.950689,44.142761,14.154427,42.497192,14.151429,4.0,0.00029242,1,890,0.15776,0.25253,0.35,0.01136,1.0,0.18182,,,-0.01,0.00606,0.01281,-0.02402,-0.00093,0.0
76,77824,-5.56677,450.0,0.0,0.53,1.269906,-0.005202,0.007602,0.004054,0.341673,0.057268,0.951147,44.109707,13.981977,42.52145,14.06662,4.0,0.00029232,4,875,0.15946,0.24106,0.39,0.01136,1.0,0.14943,,,-0.01,0.00631,0.01085,-0.02377,-0.00178,0.0
77,78848,-5.50268,450.0,0.0,0.52,1.398877,-0.005186,0.004852,0.003508,0.298468,0.033343,0.970836,43.694118,14.065559,42.184475,14.38915,4.0,0.00029222,1,872,0.16375,0.25393,0.4,0.01136,1.0,0.23077,,,-0.01,0.00607,0.01089,-0.02516,-0.00182,0.0
78,79872,-6.26514,450.0,0.0,0.52,1.538152,-0.005409,0.007633,0.004057,0.326385,0.042829,0.951665,43.660877,14.017603,42.171291,14.171597,4.0,0.00029212,2,822,0.16883,0.25749,0.41,0.01136,1.0,0.08642,,,-0.01,0.00647,0.01079,-0.02281,-0.00248,0.0
79,80896,-6.38258,450.0,0.0,0.5,1.465717,-0.005521,0.005428,0.003618,0.292278,0.043143,0.961315,41.875301,13.346125,40.589653,13.35322,4.0,0.00029201,3,838,0.16897,0.26909,0.43,0.01136,1.0,0.18421,,,-0.01,0.00655,0.01732,-0.01926,-0.00262,0.0
80,81920,-5.01402,450.0,0.0,0.5,1.447185,-0.003721,0.007657,0.004061,0.30045,0.037633,0.944457,42.407177,13.122008,40.94759,13.282982,4.0,0.00029191,2,825,0.16475,0.2611,0.44,0.01136,1.0,0.22764,,,-0.01,0.0078,0.01425,-0.02187,-0.00152,0.0
81,82944,-4.9509,450.0,0.0,0.47,1.337119,-0.004808,0.007031,0.003954,0.278749,0.049909,0.94719,40.149044,12.971451,38.695496,12.992712,4.0,0.00029181,3,856,0.17851,0.28113,0.47,0.01136,0.66667,0.20144,,,-0.01,0.00742,0.01729,-0.02512,-0.00407,0.0
82,83968,-2.74151,450.0,0.0,0.46,1.228791,-0.004145,0.006825,0.002768,0.304931,0.030308,0.943054,37.353111,12.681216,35.920147,12.556441,4.0,0.00029171,1,857,0.19782,0.29889,0.48,0.01136,1.0,0.17857,,,-0.01,0.00753,0.0162,-0.02321,-0.00343,0.0
83,84992,-5.69847,430.75,0.0,0.44,1.302784,-0.003577,0.011534,0.003649,0.297687,0.047852,0.903121,38.061523,11.973459,36.302032,12.290768,4.0,0.0002916,4,883,0.20455,0.30441,0.5,0.01136,1.0,0.17127,,,-0.01,0.0082,0.01354,-0.02182,-0.0043,-0.0027
84,86016,-4.10775,421.0,0.0,0.43,1.113538,-0.003643,0.012104,0.002735,0.339733,0.033343,0.879881,34.897221,10.913095,32.675816,11.141804,4.0,0.0002915,1,953,0.20251,0.30309,0.5,0.01136,1.0,0.09091,,,-0.01,0.00763,0.01261,-0.02199,-0.00781,-0.0032
85,87040,-4.75278,450.0,0.0,0.41,0.970879,-0.00471,0.00558,0.003109,0.316221,0.045201,0.914065,31.468288,9.657263,30.092697,9.213585,4.0,0.0002914,2,989,0.18484,0.28323,0.52,0.01136,1.0,0.22222,,,-0.01,0.008,0.01501,-0.01938,-0.00482,0.0
86,88064,-4.16914,409.8,0.0,0.38,0.95351,-0.002329,0.013456,0.001762,0.299238,0.016462,0.843936,31.186398,9.757253,29.096731,10.310786,4.0,0.0002913,5,965,0.16523,0.25796,0.53,0.01136,1.0,0.10294,,,-0.01,0.0097,0.0138,-0.01946,-0.00736,-0.00707
87,89088,29.09456,350.0,0.5,0.38,1.059692,-0.002384,0.021222,0.002955,0.208126,0.035924,0.684173,30.320675,8.501214,29.315582,9.333918,4.0,0.00029119,2,962,0.16434,0.25398,0.52,0.01124,1.0,0.10811,,,-0.01,0.00875,0.0124,-0.02049,-0.00489,0.10621
