iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
37,37888,43.27576,127.25,0.83333,0.83,0.660925,0.026316,29.769936,0.00158,2361,0.16265,-0.01,0.04604,-0.00089,-0.00161,-0.05447,0.55606
38,38912,47.25639,74.18182,1.0,0.84,0.765323,-0.003493,38.640498,0.001185,2430,0.17673,-0.01,0.04099,-0.00139,-0.00178,-0.05685,0.592
39,39936,59.12232,72.16667,1.0,0.87,0.719779,0.001901,25.222183,0.001038,2413,0.17202,-0.01,0.04135,-0.00137,-0.00148,0.0242,0.69614
40,40960,49.81742,119.0,0.875,0.87,0.696242,0.000497,25.073156,0.001837,2517,0.16357,-0.01,0.04523,-0.00151,-0.00112,-0.03065,0.38363
41,41984,44.64582,98.5,0.91667,0.87,0.741825,-0.162849,28.073177,0.001399,2338,0.17416,-0.01,0.04578,-0.00077,-0.00208,-0.00493,0.5547
42,43008,55.70117,112.1,0.9,0.89,0.669426,-0.001094,16.399273,0.003318,2475,0.16829,-0.01,0.04208,-0.0006,-0.00302,-0.00822,0.52694
43,44032,59.13529,80.7,1.0,0.9,0.695722,0.119723,18.272324,0.000504,2519,0.15188,-0.01,0.03952,-0.00091,-0.00168,0.02379,0.59227
44,45056,49.55188,102.22222,0.88889,0.92,0.663089,0.053174,19.048028,0.00064,2550,0.15065,-0.01,0.04075,-0.00064,-0.00188,0.02077,0.4774
45,46080,53.342,103.77778,0.88889,0.92,0.621867,0.000151,16.740418,0.001381,2437,0.14984,-0.01,0.04762,-0.00051,-0.00267,0.01959,0.46265
46,47104,55.23903,100.63636,0.90909,0.93,0.644217,0.000571,20.168685,0.001336,2458,0.14976,-0.01,0.04745,-0.00066,-0.00235,-0.0048,0.55869
47,48128,39.0839,121.08333,0.83333,0.92,0.686328,0.008702,26.531218,0.000936,2330,0.15929,-0.01,0.04679,-0.00055,-0.00329,-0.0505,0.5072
48,49152,54.54877,85.5,1.0,0.92,0.680752,0.00074,20.098355,0.00069,2387,0.15451,-0.01,0.04596,-0.00033,-0.00362,0.00011,0.51878
49,50176,55.56256,74.375,1.0,0.92,0.654498,-0.000131,21.786701,0.000356,2449,0.15271,-0.01,0.04152,-0.00091,-0.00256,-0.0091,0.43134
50,51200,39.58118,151.25,0.75,0.91,0.647705,-0.001064,19.61324,0.000507,2539,0.15797,-0.01,0.04266,-0.00056,-0.00332,-0.00802,0.30221
51,52224,42.85262,166.42857,0.71429,0.89,0.709077,0.000267,23.864455,0.000596,2682,0.15917,-0.01,0.03545,-0.0007,-0.00308,-0.01502,0.27083
52,53248,62.29541,72.5,1.0,0.89,0.832836,-0.054061,30.37471,0.00223,2660,0.16223,-0.01,0.03125,-0.00113,-0.00309,0.00733,0.24029
53,54272,19.33824,257.2,0.4,0.87,0.839421,0.000866,20.782467,0.00166,2754,0.17286,-0.01,0.01839,-0.00143,-0.00239,-0.05037,0.11454
54,55296,38.77271,196.4,0.6,0.86,0.830597,0.011633,27.90586,0.002272,2680,0.18118,-0.01,0.02007,-0.00122,-0.00358,-0.01828,0.18678
55,56320,35.32634,163.14286,0.71429,0.84,0.838734,0.0272,23.807979,0.002066,2753,0.20034,-0.01,0.02951,-0.00187,-0.00414,0.0092,0.32966
56,57344,51.74744,132.71429,0.85714,0.83,0.773381,0.022713,24.940621,0.000588,2646,0.17462,-0.01,0.03128,-0.00135,-0.00288,0.01623,0.37325
57,58368,27.14743,168.6,0.7,0.82,0.762616,0.002151,41.440262,0.001552,2681,0.18655,-0.01,0.03922,-0.00084,-0.00236,-0.04713,0.34978
58,59392,46.53836,81.0,1.0,0.82,0.816012,-0.019516,47.301577,0.00477,2646,0.19072,-0.01,0.03536,-0.00123,-0.00301,-0.09827,0.4859
59,60416,33.92115,130.5,0.83333,0.81,0.788538,0.01187,17.160926,0.002096,2729,0.18926,-0.01,0.02468,-0.001,-0.00372,-0.01479,0.25064
