iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
40,40960,11.09382,66.0,0.5625,0.75,1.581436,0.021004,15.446354,0.00686,4027,-0.01,0.00869,-0.0,-0.00745,-0.00599,0.23461
41,41984,18.58875,67.4,0.73333,0.72,1.69211,0.001327,13.899401,0.004112,4086,-0.01,0.00691,0.00035,-0.00712,0.00508,0.33379
42,43008,17.72433,65.30769,0.76923,0.72,1.620734,0.147762,15.939173,0.002238,4129,-0.01,0.00752,0.00113,-0.00819,0.00238,0.2841
43,44032,14.18119,87.5,0.78571,0.74,1.619499,-0.002953,12.052115,0.002209,4720,-0.01,0.0067,0.0005,-0.00781,0.00154,0.28987
44,45056,13.59313,75.54545,0.54545,0.75,1.601662,-0.01322,15.747204,0.00431,4331,-0.01,0.00695,-0.00242,-0.00788,-0.00125,0.20019
45,46080,13.70325,86.81818,0.63636,0.74,1.573448,0.029533,9.719485,0.005152,4015,-0.01,0.00558,-0.00334,-0.01083,0.00337,0.1908
46,47104,20.82418,94.16667,0.91667,0.73,1.500814,-0.068488,10.749458,0.004493,4114,-0.01,0.0065,-0.00132,-0.0082,0.00243,0.31099
47,48128,12.32258,81.42857,0.71429,0.72,1.562025,-0.001973,11.242625,0.002804,4368,-0.01,0.00633,-0.00033,-0.00767,0.00159,0.23019
48,49152,20.52906,76.71429,1.0,0.78,1.552718,0.000477,12.528418,0.001778,4140,-0.01,0.00724,-8e-05,-0.00638,0.00557,0.3482
49,50176,12.66591,72.92308,0.61538,0.76,1.435038,0.059028,14.74251,0.003472,4163,-0.01,0.00623,-0.00121,-0.00748,-0.00239,0.22232
50,51200,20.22924,89.88889,0.88889,0.77,1.606775,-0.07543,10.834466,0.01089,4087,-0.01,0.00518,-0.00378,-0.00969,0.00711,0.24382
51,52224,20.08391,81.53333,0.93333,0.78,1.487411,0.003443,12.416983,0.004367,3809,-0.01,0.00799,-0.00108,-0.00853,0.00878,0.34423
52,53248,21.15379,71.21429,0.85714,0.83,1.563069,-0.014433,10.321337,0.00388,3900,-0.01,0.00721,-0.0023,-0.00854,0.0075,0.34247
53,54272,15.23301,89.4,0.7,0.83,1.619043,-0.000768,12.687022,0.002689,4310,-0.01,0.00741,8e-05,-0.00928,0.00159,0.1993
54,55296,17.98589,81.84615,0.92308,0.84,1.468361,0.001292,14.80672,0.002866,4222,-0.01,0.00629,-0.00376,-0.00901,0.00381,0.31057
55,56320,18.17788,80.0,0.86667,0.85,1.556509,-0.001296,10.923453,0.001804,3925,-0.01,0.00723,-0.00033,-0.00806,0.00481,0.33462
56,57344,20.81761,86.66667,0.91667,0.84,1.538142,-0.0004,5.722857,0.001922,4071,-0.01,0.00557,-0.00127,-0.00976,0.00681,0.30347
57,58368,23.63628,71.1,1.0,0.87,1.563143,-0.022951,13.455998,0.003144,3863,-0.01,0.00819,0.00098,-0.01038,0.00752,0.28006
58,59392,20.69331,89.53333,0.93333,0.9,1.544191,0.001353,9.850134,0.002676,3867,-0.01,0.00635,-0.00157,-0.01111,0.00787,0.36301
59,60416,25.05495,66.33333,1.0,0.9,1.512368,-0.002456,10.001415,0.001896,3915,-0.01,0.00706,-0.00238,-0.00978,0.00919,0.3561
60,61440,17.60926,78.3125,0.875,0.9,1.402494,-0.001965,14.155642,0.001264,4027,-0.01,0.00788,-6e-05,-0.00775,0.00304,0.35063
61,62464,18.33012,60.33333,0.8,0.91,1.366366,-0.001929,13.898309,0.001632,3869,-0.01,0.00895,0.00136,-0.0072,0.00569,0.32253
62,63488,19.96855,68.66667,0.93333,0.92,1.386655,-0.002341,12.337888,0.002376,3844,-0.01,0.00764,-0.00082,-0.00808,0.00523,0.35092
63,64512,23.66487,64.33333,0.91667,0.92,1.457151,0.04398,12.842694,0.002649,4146,-0.01,0.00565,-0.0008,-0.00882,0.00456,0.34661
64,65536,14.6198,91.38462,0.69231,0.88,1.436027,-0.001043,14.011228,0.002577,3894,-0.01,0.00725,-0.00075,-0.00938,0.00216,0.24406
65,66560,14.6535,90.61538,0.76923,0.86,1.42289,-0.000279,11.162935,0.004227,4214,-0.01,0.00635,-0.0007,-0.0099,0.0008,0.25733
66,67584,18.66737,81.18182,0.81818,0.84,1.479112,0.032048,8.156435,0.003578,3885,-0.01,0.00643,0.0019,-0.00983,0.00839,0.2412
67,68608,24.169,68.3125,1.0,0.85,1.420961,-0.000162,9.81318,0.001605,3766,-0.01,0.00635,-0.00143,-0.00867,0.00693,0.42311
68,69632,18.32533,78.0,0.83333,0.85,1.378033,-0.064423,11.067969,0.002646,3736,-0.01,0.00597,0.0009,-0.01021,0.00354,0.26189
69,70656,22.08314,83.76923,0.92308,0.86,1.425943,-0.000229,11.673666,0.00254,4039,-0.01,0.00687,0.00015,-0.00953,0.00383,0.34282
70,71680,10.66898,92.92308,0.69231,0.83,1.366864,0.003002,14.766959,0.005111,4254,-0.01,0.00735,0.0009,-0.0079,-0.00016,0.1995
71,72704,14.52491,73.83333,0.66667,0.82,1.420772,0.000159,16.239339,0.001717,3909,-0.01,0.00627,0.00244,-0.00819,-0.00096,0.21565
72,73728,15.69334,75.18182,0.63636,0.8,1.394045,-0.032002,7.815694,0.001264,3755,-0.01,0.00623,0.00208,-0.00703,0.00491,0.19913
73,74752,22.50904,78.46667,0.8,0.81,1.390296,-0.000508,10.74368,0.002181,3681,-0.01,0.00737,0.00033,-0.0066,0.00827,0.3638
74,75776,13.58819,80.76923,0.61538,0.77,1.337644,0.001404,16.976107,0.005499,3963,-0.01,0.00708,-0.00024,-0.0078,-0.00231,0.22831
75,76800,23.58934,66.9375,0.9375,0.77,1.270528,0.067409,10.164395,0.009847,3730,-0.01,0.00848,0.00164,-0.00616,0.01115,0.41619
76,77824,26.35943,61.125,1.0,0.79,1.321133,0.058831,15.687161,0.004521,3549,-0.01,0.01012,0.00154,-0.00705,0.01065,0.44949
77,78848,24.32134,62.66667,0.94444,0.82,1.466435,0.005025,17.743455,0.002465,3656,-0.01,0.00884,0.00386,-0.00745,0.00843,0.47752
78,79872,22.35215,64.5,0.85714,0.85,1.452449,-0.002242,13.398245,0.00239,3942,-0.01,0.00699,0.00176,-0.00746,0.01144,0.36392
79,80896,24.99972,59.29412,0.88235,0.87,1.572819,0.060658,13.850338,0.00444,3690,-0.01,0.0082,0.0007,-0.00832,0.00779,0.45458
80,81920,11.8776,81.76923,0.69231,0.87,1.41378,-0.016367,16.949877,0.01269,3961,-0.01,0.00668,0.00019,-0.00888,-0.0008,0.20037
81,82944,16.65818,75.30769,0.84615,0.88,1.4111,-0.001875,14.527577,0.001393,4031,-0.01,0.0062,-0.0011,-0.00748,0.00082,0.27417
82,83968,15.843,78.71429,0.85714,0.87,1.436808,-0.00206,15.276086,0.001735,4143,-0.01,0.0078,0.00118,-0.00716,0.00116,0.28725
83,84992,20.2089,80.23077,0.84615,0.85,1.478393,-0.039349,10.713839,0.004944,3742,-0.01,0.00767,-0.00026,-0.00651,0.00622,0.29296
84,86016,18.87568,69.09091,0.81818,0.83,1.539303,0.060353,8.462063,0.003808,3934,-0.01,0.00659,-0.00131,-0.00808,0.00378,0.25704
85,87040,20.29299,101.0,0.91667,0.83,1.555798,-0.001507,8.662762,0.002572,4066,-0.01,0.00742,-0.00066,-0.00821,0.00526,0.29632
86,88064,21.48044,81.76923,0.84615,0.84,1.485772,-0.000985,10.501676,0.001889,3963,-0.01,0.00855,1e-05,-0.00741,0.0058,0.32898
87,89088,18.2465,75.76923,0.84615,0.83,1.499531,-0.000606,12.054067,0.001115,3966,-0.01,0.0088,-0.00011,-0.00578,0.00193,0.29613
88,90112,21.72497,80.69231,1.0,0.87,1.562439,-7.1e-05,12.051027,0.003649,3899,-0.01,0.00785,0.001,-0.00693,0.00864,0.31682
89,91136,23.55211,73.75,0.9375,0.89,1.507054,-0.0071,10.971188,0.003022,3597,-0.01,0.00727,0.00075,-0.00651,0.00945,0.40291
90,92160,17.4579,71.72727,0.90909,0.89,1.546042,-0.001384,15.081157,0.005465,3615,-0.01,0.00759,0.00104,-0.00678,0.00267,0.23048
91,93184,20.03934,74.28571,0.85714,0.9,1.546317,0.043179,11.307099,0.002096,3707,-0.01,0.00718,0.00022,-0.00683,0.00403,0.30952
92,94208,15.98193,75.375,0.8125,0.89,1.544461,-0.002222,12.49516,0.001919,3945,-0.01,0.00708,0.00093,-0.00669,0.00117,0.30936
93,95232,20.13342,77.90909,0.81818,0.88,1.569368,0.005394,11.218799,0.004303,3967,-0.01,0.00663,-9e-05,-0.00669,0.0059,0.25741
94,96256,23.85976,85.36364,1.0,0.9,1.545265,0.058173,9.171818,0.002722,3806,-0.01,0.00745,0.00079,-0.00736,0.00578,0.29023
95,97280,19.7565,87.84615,0.92308,0.9,1.618077,-0.058573,8.9054,0.002653,4087,-0.01,0.00715,0.00023,-0.00777,0.00471,0.32311
96,98304,21.38185,84.0,1.0,0.9,1.516456,-0.001194,10.119745,0.002987,3874,-0.01,0.00824,0.00186,-0.00676,0.00838,0.28293
97,99328,20.72583,85.81818,1.0,0.91,1.466712,-0.001626,8.743476,0.001786,3858,-0.01,0.00691,-0.00052,-0.00802,0.00614,0.25704
98,100352,16.98202,92.45455,0.81818,0.9,1.527633,-0.00196,12.884525,0.003061,3848,-0.01,0.00547,-0.00079,-0.00812,0.00081,0.2251
99,101376,20.06592,88.75,0.83333,0.9,1.42066,0.00122,8.474341,0.002628,4022,-0.01,0.00611,-0.00111,-0.00722,0.00527,0.28885
100,102400,11.43996,87.90909,0.63636,0.89,1.378086,0.003589,14.173031,0.005531,4162,-0.01,0.00686,0.00108,-0.00624,-0.00146,0.16523
101,103424,15.26839,94.7,0.9,0.88,1.516478,-0.041153,11.292616,0.000933,4378,-0.01,0.00707,0.00095,-0.00822,-0.00382,0.19861
102,104448,12.43551,98.25,0.58333,0.85,1.420734,0.002311,8.059201,0.004056,4341,-0.01,0.00524,0.00187,-0.00622,0.0,0.19802
103,105472,12.37018,101.81818,0.72727,0.82,1.394539,0.007121,6.232463,0.002639,4134,-0.01,0.00472,0.00014,-0.00638,0.00045,0.17552
104,106496,17.98769,94.0,0.81818,0.81,1.475721,-0.001759,9.314809,0.001372,4238,-0.01,0.00542,0.00094,-0.00726,0.00099,0.23195
105,107520,20.89718,86.27273,1.0,0.81,1.476238,0.103685,10.978929,0.006079,4083,-0.01,0.00693,0.00136,-0.00627,0.00794,0.26892
106,108544,24.74682,76.28571,1.0,0.82,1.34744,0.107002,9.20945,0.006156,3853,-0.01,0.0071,0.00274,-0.00648,0.0091,0.36994
107,109568,21.17631,70.125,0.9375,0.83,1.282163,0.00028,12.128468,0.001165,3973,-0.01,0.00965,0.00294,-0.00651,0.00735,0.3826
108,110592,23.27575,66.21429,0.92857,0.87,1.318895,0.000189,9.12361,0.002728,3795,-0.01,0.0065,0.0023,-0.00823,0.00532,0.35019
109,111616,17.96361,78.21429,0.78571,0.86,1.303069,-0.019772,12.586343,0.003416,3889,-0.01,0.00634,0.00164,-0.00713,0.00353,0.2822
110,112640,20.11829,68.1875,0.8125,0.89,1.256227,0.000153,11.84195,0.001887,3992,-0.01,0.00699,0.00294,-0.00727,0.00585,0.35234
111,113664,21.22865,67.46154,0.84615,0.9,1.323347,0.049922,11.003269,0.003595,3867,-0.01,0.00713,0.003,-0.00607,0.00615,0.29976
112,114688,21.05867,63.76471,0.88235,0.88,1.210373,-0.001432,14.68281,0.001747,3931,-0.01,0.00809,0.00309,-0.00458,0.0053,0.39385
113,115712,19.92462,64.0,0.85714,0.87,1.286526,-0.007892,15.211788,0.002344,4127,-0.01,0.00901,0.00352,-0.00522,0.00416,0.32293
114,116736,24.38609,68.875,0.9375,0.86,1.322078,0.002995,10.272936,0.003027,3919,-0.01,0.00852,0.00155,-0.00518,0.0096,0.42418
115,117760,19.09782,62.94118,0.88235,0.86,1.230131,-0.0323,12.127115,0.002312,3852,-0.01,0.00856,0.00243,-0.00612,0.00263,0.35992
116,118784,25.41389,60.46154,0.84615,0.86,1.345562,0.000974,11.115651,0.001987,3925,-0.01,0.00591,0.0021,-0.00946,0.00721,0.35604
117,119808,22.88631,78.0,0.875,0.89,1.422924,-0.028102,6.203956,0.005633,3885,-0.01,0.00793,0.0037,-0.00658,0.01134,0.38838
118,120832,16.26179,76.5,0.71429,0.85,1.36946,-0.101009,14.114298,0.00538,3989,-0.01,0.0069,0.0011,-0.00734,-0.00152,0.27083
119,121856,19.25939,61.22222,0.77778,0.85,1.356801,-0.002117,11.968884,0.003235,3823,-0.01,0.0071,0.00323,-0.00683,0.00623,0.37982
120,122880,25.45489,65.69231,1.0,0.86,1.538291,0.051081,17.140212,0.002362,3987,-0.01,0.00942,0.00265,-0.00757,0.00882,0.3601
121,123904,18.22416,71.0,0.76471,0.83,1.471917,-4.6e-05,16.360132,0.002336,3982,-0.01,0.00842,0.00211,-0.0063,0.00489,0.34475
122,124928,29.28848,61.46667,1.0,0.85,1.468255,0.001403,8.777102,0.003009,3754,-0.01,0.00835,0.00228,-0.00662,0.01397,0.44376
123,125952,23.45887,63.14286,0.92857,0.87,1.409838,-0.002659,11.86835,0.00306,3959,-0.01,0.00834,0.00324,-0.00742,0.00773,0.35405
124,126976,17.69364,77.5,0.78571,0.85,1.410928,0.038002,12.77392,0.003474,4019,-0.01,0.00756,0.00203,-0.00938,0.00278,0.28983
125,128000,23.25768,64.6,0.86667,0.88,1.39793,0.036975,12.766549,0.003697,3880,-0.01,0.0081,0.00273,-0.00799,0.0076,0.37932
126,129024,16.33394,77.15385,0.69231,0.86,1.361797,0.036326,13.631819,0.006421,4106,-0.01,0.00653,0.00156,-0.00894,0.00269,0.26279
127,130048,20.58646,82.84615,0.84615,0.84,1.493292,-0.039774,10.675139,0.005482,3785,-0.01,0.00708,0.00214,-0.00753,0.00547,0.30849
128,131072,21.81074,71.5,0.9,0.86,1.386196,0.0618,7.532103,0.001629,4016,-0.01,0.00481,0.0,-0.00852,0.00634,0.24118
129,132096,12.17608,108.58333,0.66667,0.83,1.439118,0.003528,11.699589,0.008841,4311,-0.01,0.00411,-0.00038,-0.00756,-0.00131,0.19794
130,133120,11.67139,106.125,0.625,0.8,1.522714,0.000378,6.959859,0.001603,4075,-0.01,0.00383,0.00093,-0.00865,-0.00086,0.11472
131,134144,18.81527,105.5,0.8,0.78,1.476578,0.026851,7.436584,0.003853,3916,-0.01,0.00495,0.00062,-0.00764,0.00431,0.22084
132,135168,19.63143,103.0,1.0,0.8,1.500342,-0.001032,7.691767,0.001456,4198,-0.01,0.00433,0.00061,-0.00788,0.00453,0.24856
133,136192,21.08628,99.45455,1.0,0.84,1.511945,-0.001189,7.403624,0.001851,4000,-0.01,0.00506,-0.00029,-0.00879,0.0058,0.25911
134,137216,20.94768,90.5,0.9,0.83,1.470607,-0.002851,7.210949,0.004455,3838,-0.01,0.00633,0.0018,-0.0076,0.00879,0.2272
