iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
34,34816,47.29808,154.55556,0.88889,0.97,1.105455,0.002371,21.407845,0.002905,2077,0.0649,0.22222,0.86513,-0.01,0.00597,-0.00628,-0.01964,0.00109,0.53651
35,35840,52.86607,100.25,1.0,0.97,1.062055,-0.000101,27.964445,0.001509,2082,0.05315,0.25,0.65789,-0.01,0.00941,0.00143,-0.01723,-0.05527,0.51647
36,36864,70.56129,91.6,1.0,0.97,1.042047,-0.002483,14.223705,0.001402,1990,0.0528,0.0,0.61628,-0.01,0.00496,0.00073,-0.01823,-0.02475,0.71467
37,37888,57.60665,136.25,0.875,0.97,1.13259,-0.045428,26.806708,0.001293,2058,0.06336,0.0,0.65,-0.01,0.00554,-0.00991,-0.02208,0.0003,0.50427
38,38912,58.58902,117.66667,1.0,0.97,1.143755,-0.030797,13.549088,0.002721,1987,0.06649,0.11111,0.66102,-0.01,0.00745,-0.00589,-0.02066,-0.00056,0.57752
39,39936,61.38904,129.54545,1.0,0.97,1.132391,-0.000726,34.223809,0.001492,1974,0.06131,0.09091,0.88787,-0.01,0.00664,-0.00654,-0.02082,-0.02193,0.75164
40,40960,70.96799,83.2,1.0,0.98,1.050295,0.03396,23.983572,0.001698,1959,0.04492,0.0,0.5082,-0.01,0.00673,0.00423,-0.019,-0.04965,0.71881
41,41984,63.58312,102.71429,1.0,0.98,1.116987,-0.000241,42.027879,0.000211,2178,0.06948,0.14286,0.58974,-0.01,0.00796,-0.00823,-0.01837,-0.03017,0.54349
42,43008,65.28005,105.0,1.0,0.98,1.085877,-0.02514,25.370166,0.004505,2261,0.10036,0.0,0.744,-0.01,0.00684,-0.03229,-0.01764,-0.00168,0.65146
43,44032,68.8872,102.25,1.0,0.98,1.036043,0.000255,20.48802,0.000558,2378,0.08582,0.0,0.84211,-0.01,0.00744,-0.02013,-0.02026,0.00021,0.72249
44,45056,45.87413,152.58333,0.91667,0.97,1.092155,-0.065791,30.279558,0.001434,1799,0.05506,0.25,0.92629,-0.01,0.00888,0.00137,-0.01739,-0.01991,0.72675
45,46080,62.66446,110.33333,1.0,0.98,1.130207,-0.000886,38.759734,0.001197,1975,0.05524,0.11111,0.83258,-0.01,0.00722,-0.0073,-0.02047,-0.04675,0.61372
46,47104,59.20389,100.27273,0.90909,0.97,1.101147,0.047051,20.418694,0.001542,2110,0.05516,0.09091,0.69388,-0.01,0.00739,-0.00173,-0.01874,-0.00136,0.75307
47,48128,67.20808,106.5,1.0,0.97,1.139305,0.000324,38.760063,0.00177,1995,0.05633,0.0,0.61538,-0.01,0.00605,0.00045,-0.02105,-0.02024,0.55728
48,49152,45.44474,110.44444,0.88889,0.97,1.077594,-0.044248,31.73367,0.002924,2042,0.06518,0.33333,0.72,-0.01,0.00747,0.00037,-0.01853,-0.05209,0.52431
49,50176,67.78451,81.5,1.0,0.97,1.014938,0.000298,25.785964,0.001508,1958,0.0448,0.08333,0.40909,-0.01,0.00735,0.00389,-0.01818,-0.04812,0.84438
50,51200,64.83894,87.5,1.0,0.97,1.147821,0.051561,33.853463,0.001432,2045,0.06214,0.125,0.48077,-0.01,0.00652,0.00221,-0.01729,-0.02363,0.57465
51,52224,57.00059,137.45455,0.90909,0.96,1.04838,-0.000696,28.012806,0.000563,1994,0.03951,0.09091,0.53623,-0.01,0.00588,0.00365,-0.01911,-0.02531,0.67506
52,53248,65.43946,93.36364,1.0,0.96,1.044738,-0.000678,21.96529,0.001716,1978,0.03681,0.09091,0.3913,-0.01,0.00775,0.00533,-0.02033,-0.02137,0.76178
53,54272,67.29954,93.58333,1.0,0.97,1.023092,0.104857,16.990226,0.002954,1985,0.03997,0.08333,0.35211,-0.01,0.0062,0.00331,-0.01905,2e-05,0.83561
54,55296,61.50466,93.85714,1.0,0.97,1.021601,-0.005793,53.205512,0.0005,2132,0.05466,0.14286,0.54167,-0.01,0.00662,-0.00081,-0.01946,-0.0702,0.50854
55,56320,59.6234,103.9,0.9,0.96,0.976248,0.002775,8.950081,0.001145,2176,0.05947,0.1,0.48,-0.01,0.01068,-0.00483,-0.01632,7e-05,0.709
56,57344,71.25544,83.66667,1.0,0.96,1.072144,0.000594,36.020604,0.001064,2249,0.06354,0.0,0.43636,-0.01,0.00904,-0.00508,-0.0169,-0.0283,0.76993
57,58368,52.3091,130.25,0.83333,0.95,1.039021,-0.000232,15.981437,0.000437,1990,0.04289,0.16667,0.85251,-0.01,0.00851,0.00524,-0.01905,-0.00054,0.70923
58,59392,60.44135,111.3,0.9,0.95,1.092215,0.115333,42.31149,0.001336,2021,0.05007,0.1,0.69872,-0.01,0.00862,-0.00109,-0.02023,-0.02003,0.68203
59,60416,59.77525,85.41667,0.91667,0.94,1.022385,-0.001345,35.992776,0.003392,1959,0.04604,0.16667,0.36364,-0.01,0.00868,0.00598,-0.01835,-0.04981,0.78386
60,61440,55.42934,77.72727,1.0,0.94,1.008324,-0.000359,94.189026,0.001586,1981,0.04003,0.27273,0.52632,-0.01,0.00772,0.0032,-0.01902,-0.15492,0.73934
61,62464,50.93603,94.0,1.0,0.95,1.048391,0.11884,32.951161,0.001178,2239,0.06226,0.28571,0.47458,-0.01,0.00713,0.00264,-0.01936,-0.00424,0.49964
62,63488,47.59103,116.9,1.0,0.95,0.98649,-0.000873,46.922336,0.000528,2120,0.04994,0.3,0.62147,-0.01,0.00646,0.00244,-0.01675,-0.05471,0.63625
63,64512,70.876,73.33333,1.0,0.95,0.962072,-0.000196,17.111818,0.000751,2142,0.04202,0.0,0.36538,-0.01,0.00841,0.00454,-0.01936,0.00087,0.70798
64,65536,56.19072,153.3,0.8,0.93,1.066142,-0.000193,58.180546,0.000608,2051,0.05988,0.0,0.29787,-0.01,0.00751,-0.0011,-0.01786,-0.07917,0.63494
