iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
39,39936,-2.17505,300.0,0.0,0.03,1.470076,-0.00246,0.112652,0.00351,5356,-0.01,0.00451,0.00113,-0.00148,-0.00799,0.0
40,40960,-2.84144,269.33333,0.0,0.03,1.470553,-0.003913,1.178807,0.003245,4777,-0.01,0.00647,0.0011,-0.001,-0.02023,-0.00104
41,41984,-5.21096,201.0,0.0,0.03,1.486016,-0.036215,1.035712,0.003293,4677,-0.01,0.00638,-0.00012,-0.00178,-0.024,-0.00095
42,43008,-1.57193,300.0,0.0,0.03,1.396791,0.033902,0.08656,0.00761,5545,-0.01,0.00427,-0.00081,-0.00162,-0.00565,0.0
43,44032,-1.78859,300.0,0.0,0.03,1.443334,-0.005556,0.085637,0.005932,4908,-0.01,0.00693,0.00042,-0.00012,-0.00948,0.0
44,45056,-4.12701,242.0,0.0,0.03,1.395008,-0.036822,1.034252,0.003461,4939,-0.01,0.00475,5e-05,-0.00095,-0.01836,-0.00104
45,46080,-1.73596,300.0,0.0,0.03,1.509143,0.061968,0.091138,0.00356,4308,-0.01,0.00481,-0.00064,-0.0002,-0.00277,0.0
46,47104,-1.41548,300.0,0.0,0.03,1.490808,-0.004167,0.050831,0.007129,3977,-0.01,0.00526,-0.00048,-0.00026,0.00039,0.0
47,48128,-1.63905,300.0,0.0,0.03,1.50204,-0.008156,0.047846,0.007079,3611,-0.01,0.00553,0.0005,-0.00146,-0.00219,0.0
48,49152,-1.33397,300.0,0.0,0.03,1.447336,-0.005747,0.044786,0.0056,4147,-0.01,0.0043,-0.00022,0.00038,-0.00176,0.0
49,50176,9.87866,262.2,0.2,0.04,1.521918,0.001204,17.437043,0.008064,3830,-0.01,0.00609,0.00112,0.00083,-0.00265,0.07675
50,51200,22.93329,218.8,0.6,0.07,1.583959,0.029024,29.674285,0.007316,3919,-0.01,0.00675,0.0018,0.0005,-0.00343,0.17751
51,52224,-1.5955,300.0,0.0,0.07,1.427838,0.000566,0.339407,0.005569,5335,-0.01,0.00359,0.00072,0.00029,-0.00479,0.0
52,53248,-1.12829,300.0,0.0,0.07,1.573088,-0.004116,0.209779,0.00421,4429,-0.01,0.00604,-0.0008,0.00075,-0.00369,0.0
53,54272,7.12514,273.0,0.33333,0.08,1.615208,-0.002382,7.656045,0.00653,4158,-0.01,0.00562,0.00166,0.00033,-0.00321,0.0403
54,55296,-1.7008,300.0,0.0,0.08,1.47533,-0.023387,0.194749,0.005418,5631,-0.01,0.00447,-0.00084,-2e-05,-0.00478,0.0
55,56320,-1.12054,300.0,0.0,0.08,1.6219,-0.029249,0.179467,0.007716,4126,-0.01,0.00737,0.00218,0.00046,-0.00126,0.0
56,57344,-0.94735,300.0,0.0,0.08,1.480459,-0.018442,0.186991,0.006601,5251,-0.01,0.00156,-0.00022,-0.0005,-0.00231,0.0
57,58368,-0.87262,300.0,0.0,0.08,1.609392,-0.047713,0.077059,0.005209,4140,-0.01,0.00657,0.00049,0.00032,-0.00064,0.0
58,59392,41.27072,121.5,1.0,0.1,1.591026,0.038738,19.082365,0.004298,3994,-0.01,0.00543,0.00114,0.00076,-0.00375,0.11914
59,60416,15.27656,246.6,0.4,0.12,1.482718,-0.002168,29.179183,0.004862,4946,-0.01,0.00458,0.00047,0.00182,-0.00118,0.1453
60,61440,-0.92551,300.0,0.0,0.12,1.587171,0.002567,0.812448,0.004098,4126,-0.01,0.00567,0.00193,0.00067,-0.00042,0.0
61,62464,-1.80409,300.0,0.0,0.11,1.415335,-0.00678,0.23147,0.007401,5664,-0.01,0.00171,-0.00113,0.0009,-0.0041,0.0
62,63488,4.88562,278.57143,0.14286,0.11,1.595333,-0.002807,10.989344,0.007079,3691,-0.01,0.00518,0.00017,0.00032,0.00092,0.05607
63,64512,40.19963,143.5,1.0,0.13,1.538865,0.024422,10.516262,0.004325,4025,-0.01,0.00583,0.00107,0.0008,-0.00419,0.11988
64,65536,6.93113,271.66667,0.33333,0.13,1.487464,-0.002383,8.763815,0.002859,4961,-0.01,0.00444,-0.00068,0.00144,-0.00277,0.04936
65,66560,-0.97992,300.0,0.0,0.13,1.536705,0.028316,0.585868,0.007064,4018,-0.01,0.00601,-0.00035,0.0002,-0.0027,0.0
66,67584,-1.34105,300.0,0.0,0.13,1.43939,-0.003213,0.350751,0.007717,5233,-0.01,0.00309,0.00089,0.00069,5e-05,0.0
67,68608,5.90317,268.5,0.16667,0.14,1.55229,-0.005551,12.196177,0.005864,4108,-0.01,0.00786,-0.00018,0.00037,0.00175,0.05781
68,69632,29.94746,234.0,0.66667,0.16,1.556983,0.00025,20.143125,0.009418,4006,-0.01,0.007,0.0009,-0.00059,-0.00088,0.13183
69,70656,-1.14989,300.0,0.0,0.16,1.546537,0.04873,0.434016,0.005677,4612,-0.01,0.00487,-0.00302,-0.00034,0.00171,0.0
70,71680,6.18973,267.33333,0.16667,0.17,1.608434,0.030336,7.726892,0.003619,3210,-0.01,0.00785,-0.00099,0.00043,0.00279,0.04687
71,72704,-0.24234,300.0,0.0,0.17,1.562382,0.082974,0.450137,0.003094,3929,-0.01,0.00461,0.00073,0.00072,-7e-05,0.0
72,73728,-0.39201,300.0,0.0,0.17,1.550694,-0.059131,0.330157,0.005094,3886,-0.01,0.00693,-0.00087,0.00058,-0.00472,0.0
73,74752,-1.54514,300.0,0.0,0.17,1.332658,-0.003267,0.33428,0.00352,5452,-0.01,0.00562,0.00077,-0.00014,-0.00669,0.0
74,75776,-1.53354,300.0,0.0,0.17,1.381841,-0.003625,0.066716,0.002553,5765,-0.01,0.00442,0.00017,0.00124,0.00044,0.0
75,76800,7.80644,262.0,0.2,0.17,1.551984,-0.000629,13.380033,0.002297,3840,-0.01,0.00676,0.00172,0.0003,-0.00106,0.05888
76,77824,39.12984,160.0,1.0,0.18,1.502438,0.038613,11.222113,0.003711,4614,-0.01,0.00468,-0.00068,0.00059,-0.00154,0.06948
77,78848,2.80574,283.42857,0.14286,0.16,1.622007,-0.001299,7.210472,0.006471,3934,-0.01,0.00706,0.00153,0.00145,-0.0008,0.03741
78,79872,21.91238,202.66667,0.66667,0.18,1.656948,0.000193,14.222367,0.002386,3575,-0.01,0.00528,-0.00329,-0.00042,0.00099,0.08194
79,80896,23.30319,208.75,0.5,0.2,1.624391,-0.000363,21.313306,0.006663,3592,-0.01,0.00591,-0.00152,-0.00011,0.00366,0.10893
80,81920,15.08054,238.66667,0.33333,0.21,1.651671,-0.00138,20.782961,0.005565,3488,-0.01,0.00599,-0.00285,0.00013,0.00056,0.11961
81,82944,23.55125,206.0,0.6,0.24,1.634509,0.061793,22.38505,0.007979,4238,-0.01,0.00508,-0.00164,8e-05,0.00199,0.17545
82,83968,18.59816,239.75,0.5,0.26,1.659275,0.051402,13.957035,0.003993,3837,-0.01,0.00549,0.00101,-5e-05,-0.00101,0.11162
83,84992,-0.80893,300.0,0.0,0.26,1.67812,-0.000541,1.374696,0.008088,4263,-0.01,0.004,-0.00059,0.00028,0.0002,0.0
84,86016,-1.52816,300.0,0.0,0.24,1.679581,0.026422,1.247395,0.009344,3708,-0.01,0.00655,-0.0055,-0.00122,0.00129,0.0
85,87040,17.23923,255.0,0.5,0.25,1.724204,0.003131,20.818302,0.007548,3638,-0.01,0.00704,-0.00367,0.00034,0.00122,0.14473
86,88064,31.66574,171.0,1.0,0.27,1.735052,-0.000819,7.057747,0.010044,4290,-0.01,0.00521,-0.00716,0.00048,-0.00208,0.08846
87,89088,7.58304,279.25,0.25,0.28,1.65209,0.013212,4.184459,0.008241,4141,-0.01,0.00384,-0.00525,0.0011,0.00203,0.05816
88,90112,8.74613,228.28571,0.28571,0.27,1.650994,-0.007462,18.825873,0.002765,3301,-0.01,0.00645,-0.00163,0.00038,-0.03169,0.09274
89,91136,10.20933,160.71429,0.42857,0.29,1.691083,0.106092,26.003666,0.005796,3446,-0.01,0.006,-0.0028,0.00087,-0.02614,0.14991
90,92160,34.91055,214.0,0.75,0.32,1.746818,0.001113,22.667472,0.006556,3590,-0.01,0.00666,-0.00549,0.00051,0.00378,0.16293
91,93184,27.99275,211.5,0.75,0.35,1.714915,0.012909,16.179874,0.008088,3277,-0.01,0.00616,-0.0081,0.00024,0.00127,0.13422
92,94208,19.34064,223.75,0.75,0.35,1.581472,-0.019217,21.880837,0.00215,3864,-0.01,0.00597,-0.0017,0.00062,-0.02875,0.14848
93,95232,2.99406,229.83333,0.33333,0.37,1.657709,0.077866,22.384796,0.005016,3786,-0.01,0.00797,1e-05,-8e-05,-0.05362,0.09048
94,96256,24.15639,203.0,0.5,0.38,1.617446,0.000548,21.999991,0.001505,3891,-0.01,0.00628,-0.00314,0.00017,-0.01895,0.13699
95,97280,12.8409,181.33333,0.5,0.41,1.636595,0.001911,27.380842,0.00804,3909,-0.01,0.00852,-0.00117,0.00099,-0.04025,0.14274
96,98304,3.77677,203.0,0.5,0.43,1.606626,-0.103763,19.864571,0.003364,3659,-0.01,0.00721,-0.00509,0.00038,-0.02289,0.06787
97,99328,-4.59585,300.0,0.0,0.43,1.546525,0.026299,9.808866,0.006017,3823,-0.01,0.00675,-0.00084,-0.00051,-0.05197,0.0
98,100352,8.04823,185.0,0.28571,0.43,1.65269,-0.088384,42.716409,0.004869,3770,-0.01,0.00716,-0.00356,0.00066,-0.04413,0.13539
99,101376,14.05581,152.0,0.42857,0.42,1.605393,0.006342,29.42771,0.009904,3227,-0.01,0.01023,-0.00171,-0.00038,-0.04686,0.1799
