iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
34,34816,68.76961,109.42857,1.0,0.97,1.137676,0.000103,47.937732,0.000369,2222,0.07653,0.0,0.54545,-0.01,0.00675,-0.00657,-0.00273,-0.05023,0.53914
35,35840,56.52527,131.14286,0.85714,0.96,1.038682,-0.000106,27.645587,0.000694,2349,0.07567,0.14286,0.87755,-0.01,0.00557,-0.00974,-0.00391,-0.02649,0.51791
36,36864,72.01749,90.14286,1.0,0.97,0.99854,0.050671,20.472765,0.002497,2303,0.09068,0.0,0.48485,-0.01,0.00535,-0.01739,-0.00387,-0.02313,0.6002
37,37888,52.75294,162.22222,0.88889,0.96,1.03502,-0.001031,11.700894,0.000246,2224,0.07721,0.22222,0.91692,-0.01,0.00549,-0.01245,-0.00267,-0.0003,0.60463
38,38912,59.78157,130.9,0.9,0.95,0.980252,-0.041019,5.511662,0.001388,2106,0.05602,0.1,0.9235,-0.01,0.00562,-0.00325,-0.00298,0.0,0.67337
39,39936,72.01252,94.08333,1.0,0.95,1.007658,-0.000531,5.836382,0.000907,1981,0.04283,0.0,0.42857,-0.01,0.00676,0.00231,-0.00387,0.0,0.84833
40,40960,72.25101,89.18182,1.0,0.96,1.01685,-9.3e-05,5.413806,0.002281,2010,0.04422,0.0,0.42188,-0.01,0.00608,0.00351,-0.00318,1e-05,0.78003
41,41984,70.16114,90.45455,1.0,0.97,1.074054,-0.001848,12.337564,0.00148,1986,0.05963,0.0,0.56522,-0.01,0.00728,0.00149,-0.00322,-0.00032,0.76856
42,43008,72.20578,88.25,1.0,0.97,1.000414,0.003239,7.903703,0.000927,2100,0.05859,0.0,0.5,-0.01,0.00578,0.00255,-0.00335,-0.01939,0.61186
43,44032,63.61351,127.55556,1.0,0.97,1.068384,-0.072575,6.736969,0.004546,2017,0.05601,0.11111,0.46667,-0.01,0.00757,0.00272,-0.00343,0.00045,0.5975
44,45056,65.7739,90.14286,1.0,0.97,0.912448,0.197833,96.166505,0.000884,1927,0.03965,0.14286,0.45588,-0.01,0.00747,0.00306,-0.00296,-0.07208,0.95424
45,46080,64.44912,83.5,1.0,0.98,1.070109,-0.003836,27.278299,0.000855,1994,0.05531,0.1,0.60345,-0.01,0.00495,-0.0063,-0.0036,-0.02588,0.6847
46,47104,72.28441,86.9,1.0,0.99,0.998149,-0.015149,29.986869,0.0023,2091,0.05348,0.0,0.47619,-0.01,0.00617,-0.00764,-0.00255,-0.02791,0.7816
47,48128,56.67573,127.625,0.875,0.98,1.088371,-0.02626,14.490997,0.003066,2272,0.06223,0.125,0.95787,-0.01,0.00527,-0.0083,-0.00223,-0.00144,0.59982
48,49152,58.82927,112.90909,0.90909,0.98,1.095784,-0.080131,23.120315,0.001117,2185,0.05892,0.09091,0.70833,-0.01,0.00724,-0.00456,-0.00323,-0.0139,0.77245
49,50176,69.97447,94.5,1.0,0.98,0.927953,-0.002767,6.606128,0.001323,2230,0.04399,0.0,0.7907,-0.01,0.00515,-0.0022,-0.00347,0.0,0.62733
50,51200,60.43418,150.0,0.875,0.97,1.041647,-0.032908,10.578485,0.000715,2048,0.04609,0.125,0.77477,-0.01,0.0067,-0.00082,-0.00333,0.0,0.50125
51,52224,72.09574,90.41667,1.0,0.97,1.008672,0.003625,8.450429,0.002461,1967,0.05259,0.0,0.55844,-0.01,0.00542,-0.00768,-0.00384,0.0,0.8497
52,53248,67.74387,120.77778,1.0,0.97,0.991889,-0.012886,11.134113,0.001842,2014,0.04853,0.0,0.90775,-0.01,0.006,-0.00287,-0.00279,-0.00033,0.61974
53,54272,67.16162,102.88889,1.0,0.97,1.039752,0.044767,20.489494,0.001105,2038,0.0607,0.0,0.87582,-0.01,0.00486,-0.01421,-0.00368,6e-05,0.6182
54,55296,70.27094,108.2,1.0,0.97,1.163581,0.003592,18.245242,0.004616,2014,0.07687,0.0,0.84466,-0.01,0.00434,-0.02558,-0.00424,0.0,0.35135
55,56320,63.99456,158.18182,1.0,0.97,1.090018,-0.000364,22.36916,0.00114,1901,0.07017,0.0,0.9631,-0.01,0.00607,-0.02067,-0.00454,0.0,0.75426
56,57344,72.01421,89.18182,1.0,0.97,0.948264,0.000863,8.343864,0.001033,2034,0.0332,0.0,0.61429,-0.01,0.0057,0.00074,-0.00325,0.0,0.77931
57,58368,67.02742,117.0,1.0,0.97,1.132088,-8e-05,23.407329,0.00021,2029,0.06436,0.0,0.90152,-0.01,0.00387,-0.00991,-0.00327,-0.00043,0.34121
58,59392,67.8976,127.88889,1.0,0.98,1.098285,-0.046395,22.024897,0.001758,1985,0.05882,0.0,0.85333,-0.01,0.00421,-0.00573,-0.00351,-0.00029,0.61755
59,60416,71.11027,100.22222,1.0,0.99,0.966255,0.00154,11.013963,0.001359,2005,0.04436,0.0,0.78676,-0.01,0.00608,-0.00108,-0.00334,0.0,0.63437
60,61440,64.84156,128.36364,0.90909,0.98,0.881308,0.127487,5.051505,0.001492,2022,0.03075,0.0,0.56522,-0.01,0.00519,0.00021,-0.00316,-0.0004,0.70736
61,62464,71.37329,93.3,1.0,0.99,0.958037,-0.000104,21.676396,0.002251,2100,0.04279,0.0,0.77895,-0.01,0.00516,-0.00669,-0.00342,-0.01901,0.73979
62,63488,71.58814,95.3,1.0,0.99,0.920612,0.062407,6.728794,0.001293,2123,0.05397,0.0,0.67391,-0.01,0.00591,-0.00922,-0.00349,-0.00037,0.76969
63,64512,58.59749,133.88889,0.88889,0.98,0.910302,0.039002,9.143302,0.001269,2125,0.0601,0.11111,0.92695,-0.01,0.00605,-0.01035,-0.00348,-0.00049,0.61805
64,65536,71.61884,94.8,1.0,0.98,0.947769,-0.001062,4.565909,0.000854,2036,0.03306,0.0,0.7,-0.01,0.00624,-0.00033,-0.0034,0.0,0.70634
65,66560,70.53779,87.35714,1.0,0.98,0.888374,-0.00052,7.831989,0.000962,1993,0.0331,0.0,0.62626,-0.01,0.00701,0.00144,-0.0032,-0.00037,0.98155
66,67584,71.96263,84.3,1.0,0.98,0.905222,-0.000142,5.346943,0.001147,2046,0.03362,0.0,0.7551,-0.01,0.00553,-0.00252,-0.00314,0.0,0.70969
67,68608,69.49073,83.84615,1.0,0.98,0.99695,-0.07384,16.258169,0.001473,1951,0.04127,0.07692,0.61616,-0.01,0.00688,0.00059,-0.00309,-0.02531,0.91846
68,69632,70.25924,96.75,1.0,0.98,1.058212,0.002788,25.159903,0.00312,2026,0.06542,0.0,0.64706,-0.01,0.00441,-0.01338,-0.00356,-0.02175,0.57297
69,70656,68.408,114.25,1.0,0.98,1.113071,0.165485,63.772775,0.007584,2250,0.09828,0.0,0.92405,-0.01,0.00432,-0.02967,-0.00303,-0.06022,0.67789
70,71680,51.72574,96.7,0.8,0.97,0.93204,0.00102,29.395242,0.001866,2221,0.06728,0.2,0.88546,-0.01,0.00632,-0.01573,-0.00282,-0.0261,0.67611
71,72704,48.87745,136.8,0.8,0.95,1.012895,-0.000462,21.432916,0.000714,1986,0.0647,0.2,0.93761,-0.01,0.00565,-0.01495,-0.00496,-0.00105,0.59236
72,73728,68.08712,79.1,1.0,0.95,1.052804,0.001974,37.407524,0.002065,1952,0.06058,0.1,0.65455,-0.01,0.00615,-0.00575,-0.00393,-0.04346,0.71317
73,74752,61.00685,120.16667,0.91667,0.95,0.982521,-0.000452,29.963306,0.00081,2045,0.0435,0.08333,0.85546,-0.01,0.0073,-0.00211,-0.003,-0.00204,0.82129
74,75776,72.41313,79.08333,1.0,0.95,0.920137,0.001116,10.027695,0.001896,1978,0.03502,0.0,0.66292,-0.01,0.00657,0.00054,-0.00312,-4e-05,0.85402
75,76800,71.60714,88.66667,1.0,0.95,0.97281,0.057582,23.751422,0.003943,2059,0.04399,0.0,0.76667,-0.01,0.00472,-0.00486,-0.00325,-0.02468,0.85381
76,77824,70.47482,87.625,1.0,0.95,0.956304,0.001104,14.430474,0.001846,2110,0.05847,0.0,0.77528,-0.01,0.00482,-0.00537,-0.00381,-0.00047,0.59447
77,78848,57.65781,123.375,0.875,0.94,1.017896,-0.011169,15.602832,0.001865,2018,0.06122,0.125,0.82915,-0.01,0.00428,-0.00639,-0.00395,0.00058,0.49336
78,79872,70.57867,96.66667,1.0,0.94,0.954241,0.030458,21.069916,0.000749,1994,0.07181,0.0,0.86842,-0.01,0.00538,-0.00701,-0.00443,-0.01594,0.65368
79,80896,51.26775,150.33333,0.77778,0.92,0.97197,-0.000813,15.490412,0.001275,2044,0.06467,0.11111,0.75814,-0.01,0.00524,-0.00189,-0.0044,-0.00132,0.51049
80,81920,71.65244,88.66667,1.0,0.94,0.921092,0.000281,18.405883,0.00099,2075,0.05604,0.0,0.76812,-0.01,0.00594,-0.00248,-0.00388,-0.02061,0.44824
