iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
30,30720,-0.20878,100.8,0.0,0.0,1.42601,-0.00277,0.201423,0.001122,1511,0.13669,1.0,0.0,0.4438,2.43861,-0.01,0.04778,0.00117,-0.01864,-0.01889,-0.0052
31,31744,-0.50297,97.7,0.0,0.0,1.400175,0.148723,0.208713,0.004436,1508,0.14481,1.0,0.0,0.4335,2.57777,-0.01,0.04559,0.00217,-0.01885,-0.01993,-0.00527
32,32768,-0.41901,102.90909,0.0,0.0,1.299263,-0.005832,0.179976,0.005449,1548,0.13927,1.0,0.0,0.67703,3.29074,-0.01,0.04586,0.00225,-0.01584,-0.02036,-0.00588
33,33792,0.52574,101.22222,0.0,0.0,1.319189,0.033819,0.187691,0.001374,1522,0.11921,1.0,1.0,0.65358,2.88592,-0.01,0.05265,0.00117,-0.01709,-0.01629,-0.00465
34,34816,-0.38445,98.81818,0.0,0.0,1.313184,0.015953,0.251408,0.003025,1507,0.12923,1.0,0.0,0.62278,2.33305,-0.01,0.05186,0.00185,-0.01576,-0.01867,-0.0073
35,35840,0.79326,101.6,0.0,0.0,1.398156,0.005863,0.200382,0.00331,1517,0.12778,1.0,1.0,0.69427,2.71121,-0.01,0.04952,0.00273,-0.01514,-0.01836,-0.00523
36,36864,-0.23767,97.54545,0.0,0.0,1.226966,0.076768,0.180578,0.003805,1523,0.12318,1.0,0.0,0.47758,2.78156,-0.01,0.0464,0.00302,-0.01646,-0.02162,-0.00582
37,37888,0.6273,102.77778,0.0,0.0,1.329505,-0.002111,0.189028,0.003536,1504,0.1192,1.0,0.0,0.66887,2.93656,-0.01,0.05342,0.00258,-0.01177,-0.01623,-0.00461
38,38912,1.03502,100.63636,0.0,0.0,1.331167,0.003028,0.212251,0.00206,1536,0.13249,1.0,0.0,0.72066,2.77911,-0.01,0.05537,0.00124,-0.01648,-0.0194,-0.00583
39,39936,0.85579,101.66667,0.0,0.0,1.393699,-0.002798,0.203258,0.00302,1534,0.1308,1.0,0.0,0.664,3.03217,-0.01,0.05522,0.00287,-0.01378,-0.01924,-0.00475
