iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
20,20480,-6.40659,250.75,0.0,0.0,0.949348,-0.001343,0.017944,0.000427,0.228126,0.0,0.955405,-6.55247,5.105602,-6.539852,5.326277,4.0,9.935e-05,4,1014,0.27369,0.35021,0.56364,1.0,0.78049,,,-0.01,0.00847,-0.00289,-0.02109,-0.01136,-0.01236
21,21504,-9.505,450.0,0.0,0.0,0.977264,-0.00237,0.01694,0.000825,0.254448,0.000593,0.954266,-6.332309,4.915296,-6.442909,4.948342,4.0,9.932e-05,3,1008,0.23787,0.31765,0.58621,1.0,0.74286,,,-0.01,0.00904,-0.00102,-0.01651,-0.01457,0.0
22,22528,-5.21906,237.33333,0.0,0.0,0.866531,-0.001542,0.016789,0.000515,0.244874,0.000558,0.951564,-5.951132,4.79838,-5.856811,4.763631,4.0,9.928e-05,3,991,0.25624,0.33045,0.57377,0.66667,0.69697,,,-0.01,0.00982,-0.00467,-0.01112,-0.01481,-0.00932
23,23552,-4.75851,246.66667,0.0,0.0,0.819152,-0.002032,0.016932,0.000519,0.239474,0.001116,0.950581,-5.712678,4.602798,-5.665477,4.683252,4.0,9.925e-05,3,983,0.25188,0.31759,0.5625,1.0,0.73333,,,-0.01,0.00929,-0.00597,-0.01374,-0.01087,-0.00958
24,24576,-5.30403,281.8,0.0,0.0,0.969869,-0.001986,0.021787,0.001275,0.267641,0.008405,0.937256,-5.62439,4.628,-5.517311,4.716102,4.0,9.921e-05,5,984,0.24564,0.30988,0.55072,1.0,0.89091,,,-0.01,0.0103,-0.00148,-0.01605,-0.01134,-0.01221
25,25600,-4.12615,231.66667,0.0,0.0,0.914608,-0.001667,0.025234,0.000643,0.273258,0.000488,0.904817,-5.406871,4.464819,-5.251941,4.263714,4.0,9.918e-05,6,969,0.21912,0.30396,0.53333,0.66667,0.7381,,,-0.01,0.01228,0.00025,-0.01305,-0.02807,-0.01679
26,26624,-4.49046,165.0,0.0,0.0,0.812361,-0.001414,0.018414,0.000459,0.299778,0.001081,0.932435,-5.60438,4.16126,-5.426155,4.161126,4.0,9.915e-05,6,986,0.20073,0.28023,0.50617,1.0,0.82759,,,-0.01,0.01351,-0.00036,-0.01346,-0.02108,-0.02338
27,27648,-5.18295,210.25,0.0,0.0,0.980272,-0.001979,0.013737,0.001545,0.29395,0.014648,0.950026,-5.602,4.13194,-5.405498,4.133857,4.0,9.911e-05,4,926,0.23219,0.30603,0.49412,1.0,0.73684,,,-0.01,0.01125,0.00021,-0.01527,-0.01909,-0.01211
28,28672,-4.54075,172.0,0.0,0.0,1.139559,-0.001639,0.016028,0.000934,0.296215,0.005894,0.942381,-5.292785,4.016706,-5.13845,4.05583,4.0,9.908e-05,6,892,0.2117,0.30144,0.47253,1.0,0.69565,,,-0.01,0.01121,-0.00154,-0.01608,-0.01712,-0.01735
29,29696,19.3417,252.0,0.33333,0.01064,0.881616,-0.000117,0.853362,0.000143,0.75166,0.0,0.175508,-4.939545,3.252724,-3.592046,8.059087,4.0,9.904e-05,3,993,0.21465,0.29482,0.46809,1.0,0.91667,,,-0.01,0.00963,0.00013,-0.00912,-0.01515,0.15077
30,30720,-5.56362,382.0,0.0,0.01042,0.697873,-0.001958,0.019775,0.000905,0.266093,0.006871,0.935557,-3.887384,3.836074,-3.916402,4.044471,4.0,9.901e-05,2,1076,0.20061,0.26366,0.46875,0.5,0.81818,,,-0.01,0.00954,-0.00173,-0.01573,-0.00795,-0.00535
31,31744,-4.52237,313.5,0.0,0.01,0.877401,-0.002473,0.023247,0.00152,0.266063,0.012695,0.92666,-4.432254,4.382558,-4.504745,4.453562,4.0,9.898e-05,4,1041,0.22426,0.29311,0.47,1.0,0.4375,,,-0.01,0.00818,-0.0023,-0.01759,-0.00413,-0.00901
32,32768,16.1045,414.0,0.33333,0.02,1.497778,-0.000661,0.686593,0.000776,0.910928,3.5e-05,0.241028,-4.149652,4.150372,-2.935661,7.675543,4.0,9.894e-05,3,848,0.23682,0.31789,0.45,0.66667,0.85417,,,-0.01,0.00916,0.00101,-0.01909,-0.01021,0.08363
