iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
41,41984,19.62812,231.2,1.0,0.96,1.750618,-0.000337,2.818674,0.000513,1214,-0.01,0.0047,-0.00294,0.00071,0.00277,0.11009
42,43008,21.66721,242.5,1.0,0.96,1.723344,-0.099084,2.006269,0.00177,1170,-0.01,0.00479,-0.00256,0.0016,0.00268,0.09369
43,44032,21.96469,241.75,1.0,0.96,1.675856,-0.00026,2.595215,0.001028,1168,-0.01,0.00512,-0.00296,0.00176,0.00289,0.09471
44,45056,22.02574,212.0,1.0,0.96,1.725196,-0.000409,1.589608,0.000545,1162,-0.01,0.00388,-0.00248,0.00161,0.00295,0.09403
45,46080,18.24925,238.0,1.0,0.96,1.679847,0.017086,2.781997,0.001483,1251,-0.01,0.00458,-0.00358,0.00111,-0.00031,0.11044
46,47104,17.33016,265.66667,1.0,0.97,1.716627,-0.000133,1.651671,0.000892,1192,-0.01,0.00503,-0.00306,0.00105,0.00165,0.06224
47,48128,18.81199,242.83333,1.0,0.98,1.661697,0.105231,3.260929,0.000453,1249,-0.01,0.00453,-0.0027,0.00144,0.00115,0.13398
48,49152,18.12488,222.5,1.0,0.98,1.683958,-0.027628,1.025954,0.000978,1158,-0.01,0.00547,-0.00308,0.00093,0.00227,0.03946
49,50176,19.25151,254.5,1.0,0.99,1.62416,0.055688,4.334235,0.001052,1264,-0.01,0.00506,-0.00278,0.00209,0.00169,0.13581
50,51200,11.61795,274.5,1.0,0.99,1.746509,-0.030781,1.073145,0.002559,1210,-0.01,0.00544,-0.00322,0.00086,-2e-05,0.0281
51,52224,18.71194,278.0,1.0,0.99,1.790375,0.030986,2.91364,0.001928,1291,-0.01,0.00499,-0.00361,0.00118,-0.00041,0.09198
52,53248,13.906,349.0,1.0,0.99,1.785886,-0.000181,1.199102,0.00063,1269,-0.01,0.0049,-0.00333,0.00145,0.00216,0.05312
53,54272,18.65446,296.66667,1.0,0.99,1.749773,0.09959,1.981211,0.000766,1215,-0.01,0.00481,-0.00343,0.00099,0.00152,0.06431
54,55296,11.96368,269.0,0.8,0.98,1.704532,-0.001024,3.801644,0.000923,1221,-0.01,0.00484,-0.00314,0.00102,-0.00326,0.07836
55,56320,17.53776,252.33333,1.0,0.99,1.749322,-0.000405,1.624061,0.000239,1204,-0.01,0.00474,-0.00351,0.00112,0.00171,0.06181
56,57344,20.36793,267.5,1.0,0.99,1.747471,-0.000538,3.005623,0.000777,1156,-0.01,0.0045,-0.00305,0.00088,0.00234,0.09129
57,58368,20.22505,298.75,1.0,0.99,1.687089,-0.019794,1.894016,0.001222,1147,-0.01,0.00488,-0.00378,0.00096,0.00185,0.08921
58,59392,16.37044,257.75,1.0,0.99,1.713894,-0.001351,1.789978,0.001542,1226,-0.01,0.00395,-0.00257,0.00101,0.00224,0.07727
59,60416,21.18173,248.4,1.0,0.99,1.669393,-0.0264,1.888522,0.000945,1203,-0.01,0.00583,-0.00234,0.0002,0.00288,0.1194
60,61440,21.73578,268.33333,1.0,0.99,1.653034,-0.001314,2.89347,0.002795,1242,-0.01,0.00483,-0.00212,0.00143,-0.00022,0.07435
61,62464,12.66778,251.2,1.0,0.99,1.597475,-0.000137,2.280683,0.000287,1304,-0.01,0.00413,-0.00201,0.00135,-0.00035,0.08459
62,63488,19.59592,256.5,1.0,0.99,1.66461,0.0399,1.304002,0.002504,1207,-0.01,0.00477,-0.00232,0.00171,0.00086,0.04364
63,64512,18.31925,271.0,1.0,0.99,1.576726,0.111785,5.688983,0.001093,1342,-0.01,0.00388,-0.00174,0.00086,0.00128,0.09149
64,65536,18.01778,262.25,1.0,0.99,1.757626,0.046954,1.074155,0.000337,1173,-0.01,0.00464,-0.00215,0.00125,0.00268,0.07905
65,66560,20.61166,244.5,1.0,0.99,1.657274,-0.000368,3.104472,0.001068,1266,-0.01,0.00466,-0.0029,0.00103,0.00053,0.09775
66,67584,17.3093,267.6,0.8,0.98,1.748343,-0.00053,1.692569,0.000447,1179,-0.01,0.00462,-0.00179,0.00053,0.00356,0.09956
67,68608,23.79123,241.25,1.0,0.98,1.766859,-0.11443,3.518421,0.000448,1197,-0.01,0.00413,-0.00252,0.00148,0.00288,0.1049
68,69632,19.25003,225.25,1.0,0.98,1.714474,-0.000898,1.280289,0.000523,1168,-0.01,0.00475,-0.00183,0.00138,0.00381,0.08271
69,70656,24.9471,222.0,1.0,0.98,1.576033,-7.4e-05,4.807023,0.000329,1269,-0.01,0.00495,-0.0033,0.0021,-0.00146,0.08596
70,71680,18.23462,241.5,1.0,0.98,1.69588,-0.069874,1.838774,0.001816,1344,-0.01,0.00487,-0.00238,0.00176,0.00175,0.13819
71,72704,6.60331,277.66667,0.66667,0.97,1.666918,-0.000591,2.273462,0.000514,1213,-0.01,0.00426,-0.00214,0.0021,-0.00061,0.02947
72,73728,19.97831,260.25,1.0,0.97,1.612006,-0.000611,2.417078,0.000498,1260,-0.01,0.00447,-0.00254,0.00174,0.00281,0.09322
73,74752,21.306,261.4,1.0,0.97,1.612451,0.005193,1.604484,0.001205,1187,-0.01,0.00439,-0.00166,0.00139,0.00346,0.11397
74,75776,23.59266,220.4,1.0,0.97,1.478937,0.002458,2.887769,0.002459,1120,-0.01,0.00469,-0.0024,0.00214,0.00428,0.12516
75,76800,21.79385,212.0,1.0,0.97,1.718442,-0.066218,1.180789,0.003581,1131,-0.01,0.00446,-0.00141,0.00189,0.00232,0.06911
76,77824,21.69637,232.33333,1.0,0.97,1.590605,0.02888,2.454361,0.002738,1142,-0.01,0.00415,-0.00149,0.00167,0.00112,0.14801
77,78848,19.61566,219.5,1.0,0.97,1.672944,0.02162,1.397822,0.002643,1164,-0.01,0.00416,-0.00146,0.00235,0.00215,0.04417
78,79872,20.98901,264.0,1.0,0.97,1.572658,-0.000192,2.108284,0.000268,1178,-0.01,0.00457,-0.00115,0.00175,0.00146,0.14794
79,80896,16.76513,249.0,1.0,0.98,1.634435,-0.081629,1.477661,0.001455,1121,-0.01,0.00474,-0.0006,0.00184,0.00131,0.05837
80,81920,18.59759,258.2,1.0,0.98,1.55027,-0.000667,2.281463,0.001307,1118,-0.01,0.00386,-0.00131,0.00191,0.0025,0.10229
81,82944,22.09918,244.0,1.0,0.98,1.575329,9.9e-05,2.771702,0.000396,1128,-0.01,0.00467,-0.00051,0.00175,0.00222,0.0972
82,83968,16.61669,195.6,0.8,0.97,1.592927,-9.4e-05,2.752641,0.000385,1102,-0.01,0.0037,-0.00043,0.00183,0.00221,0.09187
