iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
33,33792,-2.66521,188.33333,0.0,0.0,1.43747,-0.034669,0.429422,0.006147,2262,0.11915,0.66667,0.0,,,-0.01,0.00924,0.00128,-0.0245,-0.00091,-0.00202
34,34816,-5.46189,254.6,0.0,0.0,1.430537,-0.062401,0.221835,0.002964,2215,0.1135,0.2,0.5,,,-0.01,0.01043,-0.00139,-0.02681,-0.0,-0.00066
35,35840,-4.8305,192.75,0.0,0.0,1.349529,0.065714,0.202126,0.005572,2500,0.10183,0.75,1.0,,,-0.01,0.00928,-0.00092,-0.02121,0.00283,-0.0015
36,36864,-4.56227,300.0,0.0,0.0,1.491505,0.022351,0.147637,0.005433,2729,0.10469,0.33333,1.0,,,-0.01,0.00735,0.0001,-0.0224,0.00137,0.0
37,37888,-3.70405,254.8,0.0,0.0,1.438582,-0.005695,0.25484,0.00294,2171,0.09248,0.2,1.0,,,-0.01,0.00748,0.00146,-0.02324,0.00226,-0.00064
38,38912,-3.098,300.0,0.0,0.0,1.497522,-0.007157,0.217621,0.003445,2479,0.09239,0.5,0.5,,,-0.01,0.0053,0.00055,-0.02323,0.00149,0.0
39,39936,-4.35647,223.5,0.0,0.0,1.434223,0.040989,0.200284,0.004402,2109,0.09441,0.375,1.0,,,-0.01,0.00787,0.00121,-0.02162,-5e-05,-0.00193
40,40960,-3.17651,135.6,0.0,0.0,1.433262,-0.006102,0.166689,0.006744,1986,0.09375,0.8,0.0,,,-0.01,0.00865,0.00236,-0.01208,-0.0033,-0.00236
41,41984,-2.89814,234.33333,0.0,0.0,1.513601,-0.006326,0.156425,0.006083,2438,0.08964,0.33333,0.0,,,-0.01,0.00868,0.00116,-0.01527,-0.00087,-0.00071
42,43008,-2.1232,246.16667,0.0,0.0,1.49508,-0.005319,0.140312,0.006442,2297,0.07063,0.33333,0.0,,,-0.01,0.00838,0.00164,-0.01415,0.00143,-0.0014
43,44032,-1.82075,230.66667,0.0,0.0,1.553155,-0.00575,0.152805,0.005048,2210,0.09152,0.66667,0.0,,,-0.01,0.0087,0.00092,-0.0141,-0.0011,-0.00064
44,45056,-3.69743,285.8,0.0,0.0,1.525509,0.03798,0.081911,0.004986,2173,0.08654,0.4,0.0,,,-0.01,0.00754,0.00125,-0.01484,0.00354,-0.00065
45,46080,-2.56379,244.0,0.0,0.0,1.591938,-0.004576,0.11525,0.005632,2116,0.09556,0.33333,0.0,,,-0.01,0.00625,0.00108,-0.01319,0.00054,-0.00061
46,47104,-3.01673,300.0,0.0,0.0,1.552813,-0.004134,0.114034,0.002612,2113,0.07605,0.0,0.0,,,-0.01,0.00857,0.00043,-0.01347,0.00119,0.0
47,48128,-2.69633,220.5,0.0,0.0,1.469048,-0.002843,0.144326,0.001886,2210,0.07619,0.5,0.0,,,-0.01,0.00903,0.00183,-0.00985,-0.00059,-0.00066
48,49152,-1.9466,300.0,0.0,0.0,1.460976,-0.002631,0.097905,0.002274,2595,0.0554,0.5,0.0,,,-0.01,0.0113,0.00134,-0.00875,0.00126,0.0
49,50176,-1.00986,300.0,0.0,0.0,1.526713,0.041546,0.078415,0.005735,2115,0.06292,0.8,0.0,,,-0.01,0.01022,0.00131,-0.01262,0.00038,0.0
50,51200,-1.55462,300.0,0.0,0.0,1.574674,-0.006264,0.114286,0.006521,2166,0.0739,0.66667,0.0,,,-0.01,0.01501,0.0005,-0.01288,-0.00079,0.0
51,52224,-2.23658,300.0,0.0,0.0,1.400082,-0.069447,0.094179,0.011133,2223,0.05909,0.75,0.0,,,-0.01,0.01376,0.00057,-0.01131,0.00059,0.0
52,53248,-1.36014,300.0,0.0,0.0,1.526691,-0.004709,0.1051,0.004385,1937,0.06481,0.75,0.0,,,-0.01,0.01319,0.00071,-0.00918,-0.00083,0.0
53,54272,-1.6307,297.75,0.0,0.0,1.423429,0.00071,0.092161,0.00481,2141,0.0663,1.0,0.0,,,-0.01,0.01317,0.00054,-0.00907,-0.00103,-0.00064
54,55296,-1.93125,300.0,0.0,0.0,1.413254,-0.00608,0.078452,0.006322,2194,0.05472,1.0,0.0,,,-0.01,0.0127,0.002,-0.01442,0.0001,0.0
55,56320,-2.09741,300.0,0.0,0.0,1.449844,-0.001508,0.116349,0.002735,2324,0.06637,1.0,0.0,,,-0.01,0.01822,0.00159,-0.00698,-0.00081,0.0
56,57344,-0.7138,300.0,0.0,0.0,1.360076,0.00829,0.073618,0.004777,2256,0.08106,1.0,0.0,,,-0.01,0.01246,0.00167,-0.00865,0.00222,0.0
57,58368,-0.9002,293.0,0.0,0.0,1.267439,0.004109,0.100706,0.005837,2567,0.0723,1.0,0.0,,,-0.01,0.01105,0.00153,-0.00948,-0.00336,-0.00079
58,59392,-1.3452,266.4,0.0,0.0,1.28972,-0.002057,0.110227,0.003113,2394,0.07271,1.0,0.0,,,-0.01,0.00959,0.00151,-0.0143,0.00222,-0.00143
59,60416,-2.65661,255.75,0.0,0.0,1.392412,-0.004814,0.081608,0.003851,2170,0.08563,0.75,0.0,,,-0.01,0.01205,0.0015,-0.01179,-0.00057,-0.00063
