iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
41,41984,35.77591,358.0,1.0,0.87,1.746248,2.2e-05,4.364385,0.000866,899,-0.01,0.00269,-0.00093,0.00905,-0.00024,0.04343
42,43008,36.59838,331.4,1.0,0.87,1.747725,-2.7e-05,10.213841,0.000722,841,-0.01,0.00528,-0.00232,0.00969,0.00055,0.20969
43,44032,32.36972,322.0,1.0,0.87,1.713566,-0.019288,3.417088,0.001177,827,-0.01,0.00381,-0.00066,0.00837,0.00024,0.0381
44,45056,32.58903,320.71429,0.85714,0.87,1.783261,0.061887,14.499183,0.001459,829,-0.01,0.00442,-0.00053,0.00958,-0.00011,0.27313
45,46080,nan,nan,0.0,0.87,1.751487,-0.000856,1.584108,0.000556,762,-0.01,0.00507,0.00082,0.0094,0.00302,0.0
46,47104,35.48268,326.5,0.83333,0.86,1.769189,-0.000575,16.994738,0.000352,769,-0.01,0.00406,0.00016,0.00899,-0.0017,0.23941
47,48128,41.65669,315.0,1.0,0.87,1.717343,0.00485,3.616779,0.000811,779,-0.01,0.00464,-0.00016,0.00916,0.00197,0.04182
48,49152,40.35044,232.6,1.0,0.89,1.701663,-0.000249,20.388673,0.00089,836,-0.01,0.00412,-0.00152,0.00988,-0.0005,0.23824
49,50176,0.872,600.0,0.0,0.88,1.693827,-8.7e-05,6.901762,0.000147,800,-0.01,0.00438,-0.00349,0.00961,-0.02587,0.0
50,51200,42.57955,312.0,1.0,0.9,1.714679,-0.125275,24.379524,0.001305,843,-0.01,0.00438,-0.00552,0.01011,-0.02243,0.19525
51,52224,18.89384,407.66667,0.66667,0.89,1.726699,-0.001169,6.050885,0.001252,803,-0.01,0.00492,-0.00174,0.00892,0.00113,0.08859
52,53248,48.99424,265.5,1.0,0.89,1.688507,-9e-06,10.574722,0.000723,954,-0.01,0.00358,-0.0001,0.00923,-0.00397,0.12705
53,54272,3.74404,410.66667,0.66667,0.89,1.716352,-0.000511,4.881833,0.000286,960,-0.01,0.00451,0.00167,0.00838,-0.00036,0.04857
54,55296,30.75057,395.5,1.0,0.89,1.680378,0.036471,5.655936,0.00054,817,-0.01,0.00491,0.00051,0.00974,-0.00245,0.13629
55,56320,34.08125,308.0,1.0,0.9,1.665367,0.000128,3.367788,0.001355,863,-0.01,0.00458,-0.00085,0.00947,0.00074,0.07752
56,57344,37.96831,302.33333,1.0,0.9,1.675427,-0.00071,9.388917,0.002113,893,-0.01,0.00435,0.00062,0.00959,-0.01402,0.14035
57,58368,28.91269,295.0,1.0,0.91,1.737591,-0.127875,15.120934,0.003843,861,-0.01,0.00481,0.0009,0.00952,-0.0017,0.14744
58,59392,24.88805,362.75,0.75,0.92,1.711824,-0.000484,10.038028,0.000316,868,-0.01,0.00443,8e-05,0.00903,-0.03043,0.11632
59,60416,34.0617,311.0,1.0,0.92,1.69937,0.051374,4.968943,0.000546,935,-0.01,0.00397,0.00356,0.00995,-0.00173,0.08543
60,61440,28.10256,270.75,1.0,0.93,1.718623,0.000812,10.418833,0.001229,869,-0.01,0.00589,0.00016,0.00962,-0.0015,0.13623
61,62464,29.90629,299.0,1.0,0.93,1.700447,0.001348,13.405188,0.002328,880,-0.01,0.00404,-0.00202,0.00944,-0.00135,0.10886
62,63488,29.42742,332.25,0.75,0.92,1.729535,-0.036043,7.227628,0.001783,829,-0.01,0.00566,-0.00086,0.00995,0.00066,0.15529
63,64512,42.6912,235.2,1.0,0.93,1.679483,-0.150098,31.000283,0.001593,927,-0.01,0.00506,-0.0008,0.00964,0.00119,0.26979
64,65536,21.02895,380.0,0.66667,0.92,1.727868,-0.000784,4.824518,0.000757,877,-0.01,0.00632,0.0003,0.00924,0.00071,0.07805
65,66560,42.70984,209.5,1.0,0.92,1.695447,-0.00024,15.278839,0.000418,841,-0.01,0.00508,4e-05,0.01047,-0.0017,0.19125
66,67584,41.79147,259.33333,1.0,0.92,1.615428,0.042746,8.575516,0.000694,916,-0.01,0.00525,-0.00048,0.00898,-0.00314,0.15484
67,68608,23.20725,289.75,0.75,0.91,1.601679,9.9e-05,7.279476,0.00229,1019,-0.01,0.00436,-0.00164,0.00785,-0.00225,0.13165
68,69632,34.44496,266.5,1.0,0.91,1.544062,0.016996,3.531442,0.001372,825,-0.01,0.00476,2e-05,0.00815,0.00056,0.07596
69,70656,21.49597,417.0,0.5,0.9,1.644067,0.033924,6.785405,0.001772,958,-0.01,0.00251,0.00018,0.00772,0.00083,0.05593
70,71680,34.2527,305.33333,1.0,0.9,1.614719,0.06142,8.136807,0.000696,894,-0.01,0.00454,0.00091,0.00835,0.0003,0.11685
71,72704,12.59154,494.66667,0.33333,0.88,1.720688,0.060644,3.794479,0.001396,804,-0.01,0.00374,0.00087,0.00816,0.00183,0.04345
72,73728,50.05339,403.0,1.0,0.88,1.708899,0.069294,7.344912,0.000934,821,-0.01,0.00404,0.00115,0.01,-0.00158,0.15562
73,74752,40.72882,358.0,1.0,0.88,1.719522,-0.187568,9.44935,0.000322,920,-0.01,0.0039,0.00273,0.00917,-0.00169,0.09775
74,75776,48.09279,326.0,1.0,0.88,1.706548,-0.000466,5.429398,0.000985,1058,-0.01,0.00294,0.00268,0.00953,0.00135,0.0645
75,76800,42.71769,384.66667,1.0,0.88,1.695604,-0.000488,14.583227,0.00118,1058,-0.01,0.00488,0.00313,0.00942,-0.01895,0.17308
76,77824,12.52464,534.0,0.66667,0.87,1.670254,-0.035042,3.195627,0.001722,916,-0.01,0.00379,-0.00055,0.008,-0.00728,0.05729
77,78848,12.84681,481.0,0.5,0.86,1.686469,0.065594,3.382592,0.004177,963,-0.01,0.0034,-0.00128,0.00941,-0.00034,0.04807
78,79872,27.96732,363.0,1.0,0.87,1.69466,-0.042323,5.949652,0.00204,878,-0.01,0.00372,0.00217,0.00989,0.00128,0.10051
79,80896,39.47521,457.0,1.0,0.87,1.679616,-0.00098,5.72714,0.001235,803,-0.01,0.00421,-0.00284,0.01072,-0.00081,0.08083
80,81920,nan,nan,0.0,0.87,1.697787,-0.0011,2.52858,0.001602,925,-0.01,0.00346,-0.00777,0.0097,-0.00025,0.0
81,82944,21.08522,567.0,0.5,0.87,1.74695,-0.033627,4.14068,0.002759,973,-0.01,0.00318,-0.01018,0.00996,0.00111,0.05867
82,83968,25.08983,481.5,0.75,0.86,1.630062,0.0349,6.164454,0.00083,843,-0.01,0.00417,-0.00574,0.00885,0.00018,0.12327
83,84992,-2.89599,600.0,0.0,0.85,1.701398,-0.004682,1.154829,0.000776,807,-0.01,0.00397,-0.00447,0.0092,-0.00287,0.0
84,86016,19.06548,525.5,0.5,0.84,1.68216,-0.000793,6.292029,0.000726,959,-0.01,0.00341,-0.00669,0.00997,-0.01227,0.05399
85,87040,29.95996,415.5,1.0,0.85,1.643624,0.027399,6.602278,0.000777,957,-0.01,0.00392,-0.0061,0.00967,-0.00076,0.08169
86,88064,11.18503,570.5,0.5,0.84,1.699087,-0.000428,4.44883,0.001043,910,-0.01,0.00412,-0.0012,0.00957,0.00079,0.04321
87,89088,-6.12956,535.66667,0.0,0.82,1.721668,0.148602,9.634299,0.00212,934,-0.01,0.00314,-0.00293,0.01024,-0.0289,-0.00016
88,90112,-1.76487,600.0,0.0,0.81,1.671459,-0.0419,0.402588,0.001625,913,-0.01,0.0035,-0.00089,0.00952,0.00068,0.0
89,91136,nan,nan,0.0,0.81,1.729663,0.077293,0.726865,0.002391,1003,-0.01,0.00298,0.00044,0.00962,-0.00127,0.0
90,92160,1.05224,600.0,0.0,0.78,1.782044,-0.00204,0.455824,0.002522,983,-0.01,0.00357,0.00206,0.0101,2e-05,0.0
91,93184,1.7585,600.0,0.0,0.77,1.716175,-0.044083,0.367165,0.003388,952,-0.01,0.00316,6e-05,0.00996,-0.00085,0.0
92,94208,1.71046,600.0,0.0,0.75,1.680152,-0.062597,0.225679,0.002415,985,-0.01,0.00286,0.00104,0.00951,-0.00039,0.0
93,95232,2.24267,600.0,0.0,0.74,1.59075,0.0294,0.280504,0.001496,1044,-0.01,0.00252,0.00227,0.00802,-0.00246,0.0
94,96256,2.56775,600.0,0.0,0.73,1.717008,-0.00136,0.259879,0.001503,1258,-0.01,0.00219,0.0032,0.0099,-0.0019,0.0
95,97280,0.07393,600.0,0.0,0.7,1.712533,0.141287,0.145067,0.004065,1096,-0.01,0.00302,0.00018,0.00995,0.00015,0.0
96,98304,-0.92599,600.0,0.0,0.69,1.773699,-0.00076,0.154325,0.002975,976,-0.01,0.00327,0.00156,0.00939,-0.00205,0.0
97,99328,10.26945,597.5,0.5,0.68,1.779505,-0.000227,7.266099,0.000431,1003,-0.01,0.00444,0.00152,0.00888,-0.03846,0.01988
98,100352,0.54848,600.0,0.0,0.67,1.759295,0.104641,0.139944,0.00407,1111,-0.01,0.00343,0.00118,0.0093,-0.00124,0.0
99,101376,21.32216,473.75,0.75,0.67,1.771177,-0.054054,29.907332,0.004426,1014,-0.01,0.00355,0.00198,0.00929,0.00053,0.11628
100,102400,23.07887,474.0,0.5,0.66,1.762654,-0.205134,23.888538,0.000603,930,-0.01,0.00297,0.00083,0.01034,-0.00055,0.05268
101,103424,-1.95529,584.5,0.5,0.65,1.693402,0.029902,2.72808,0.000604,903,-0.01,0.00265,0.00033,0.00849,-0.00126,0.02496
102,104448,nan,nan,0.0,0.65,1.722734,-0.001598,0.325972,0.001684,1054,-0.01,0.00293,0.0045,0.0095,-1e-05,0.0
103,105472,4.03851,600.0,0.0,0.64,1.714569,-0.002231,0.471669,0.002054,1131,-0.01,0.00148,0.00373,0.01018,-2e-05,0.0
104,106496,0.91851,600.0,0.0,0.6,1.73798,0.027587,0.247699,0.00456,889,-0.01,0.00536,-0.00111,0.01006,0.00018,0.0
105,107520,3.12591,600.0,0.0,0.58,1.728814,-0.000974,0.179203,0.001315,934,-0.01,0.00378,0.00253,0.00981,0.0007,0.0
106,108544,30.65606,336.33333,0.83333,0.58,1.747083,0.057364,26.100527,0.001965,842,-0.01,0.00681,0.00132,0.00989,5e-05,0.20465
107,109568,46.58237,200.33333,1.0,0.58,1.739375,0.048277,23.778159,0.001258,852,-0.01,0.00504,0.00064,0.0082,-0.00123,0.15711
108,110592,30.7019,251.8,1.0,0.59,1.711975,0.059165,20.154314,0.000772,797,-0.01,0.00709,-0.00014,0.00885,-8e-05,0.16575
109,111616,37.0718,227.0,1.0,0.59,1.673454,0.088887,12.485688,0.000815,896,-0.01,0.00497,0.00029,0.00856,-0.00346,0.08922
110,112640,35.63728,264.25,1.0,0.59,1.737961,3.4e-05,17.157681,0.000386,867,-0.01,0.00564,-0.00139,0.00915,0.00288,0.17316
111,113664,45.3163,198.66667,1.0,0.6,1.743307,-0.000611,22.634026,0.00072,926,-0.01,0.00538,-0.003,0.00851,-0.00395,0.16887
112,114688,19.61506,370.2,0.6,0.59,1.75275,-0.000473,16.498709,0.000875,983,-0.01,0.005,-0.00303,0.00819,-0.01037,0.14294
113,115712,31.55849,300.0,1.0,0.6,1.712909,0.005764,5.569785,0.000909,836,-0.01,0.00706,-0.00015,0.00872,0.00093,0.12076
114,116736,36.83128,233.42857,1.0,0.61,1.74912,-0.051694,31.305905,0.000877,769,-0.01,0.00615,0.0003,0.00879,-0.0002,0.28353
115,117760,40.56802,227.5,1.0,0.61,1.708927,-0.000141,9.459111,0.00034,788,-0.01,0.00569,-0.00017,0.00864,-0.00043,0.08656
116,118784,40.26375,255.75,1.0,0.62,1.68353,-0.000212,14.145168,0.000223,829,-0.01,0.00525,0.00246,0.00929,-0.00255,0.18006
117,119808,34.31884,268.5,1.0,0.63,1.691195,-0.000431,9.527259,0.000842,866,-0.01,0.00474,-0.00074,0.00927,-0.01166,0.08264
118,120832,37.05403,358.0,1.0,0.63,1.678965,-0.041164,6.845095,0.00152,965,-0.01,0.0028,-0.00026,0.01041,0.00106,0.09312
119,121856,33.08394,373.25,0.75,0.62,1.68935,-7.2e-05,13.056152,0.000973,838,-0.01,0.00502,-0.00199,0.01005,0.0022,0.15919
120,122880,44.28811,227.0,1.0,0.63,1.776142,0.032994,9.685024,0.002174,890,-0.01,0.00322,0.00067,0.00951,0.00053,0.10207
121,123904,16.18981,482.33333,0.33333,0.61,1.751122,0.016517,5.176813,0.002754,856,-0.01,0.00526,0.00035,0.0097,-3e-05,0.05176
122,124928,31.95873,389.66667,1.0,0.64,1.712534,6.2e-05,8.612277,0.002488,830,-0.01,0.00436,0.00142,0.00927,-0.00025,0.10802
123,125952,40.50009,308.0,1.0,0.64,1.669669,-0.023351,11.635875,0.001081,851,-0.01,0.00412,0.00043,0.00979,0.00124,0.13697
124,126976,40.15189,356.0,1.0,0.65,1.728867,0.004925,2.814518,0.001833,824,-0.01,0.00392,0.0018,0.00965,-0.00027,0.04669
125,128000,29.90932,404.4,0.8,0.68,1.757297,0.008027,12.210737,0.000708,905,-0.01,0.00311,0.00512,0.00953,0.00075,0.17764
126,129024,28.11312,425.66667,0.66667,0.7,1.75622,-0.017466,5.02486,0.002852,805,-0.01,0.00484,0.0039,0.01013,0.00033,0.08149
127,130048,34.54402,262.0,1.0,0.72,1.69633,-0.061554,9.576991,0.001232,888,-0.01,0.00453,0.00224,0.00829,-0.00199,0.08245
128,131072,38.51736,275.8,1.0,0.77,1.665186,3e-06,15.77108,0.000322,784,-0.01,0.00657,0.0035,0.01027,0.00272,0.20355
129,132096,44.19311,307.0,1.0,0.79,1.628612,-0.036378,6.087428,0.000545,793,-0.01,0.00612,0.00122,0.00871,-0.00059,0.09097
130,133120,45.56342,212.33333,1.0,0.83,1.652142,0.000102,18.959702,0.001222,844,-0.01,0.00631,0.00132,0.0086,-0.00126,0.30912
131,134144,36.45945,268.0,1.0,0.83,1.696697,0.001238,8.008119,0.000249,898,-0.01,0.00413,0.00081,0.00855,0.00317,0.08921
132,135168,33.36163,356.25,1.0,0.85,1.673473,-0.000484,9.168656,0.00035,836,-0.01,0.00438,-0.0002,0.00935,-0.00018,0.15051
133,136192,31.51407,411.0,1.0,0.87,1.642455,0.000186,7.892788,0.000884,913,-0.01,0.00264,-0.00021,0.00852,-0.00256,0.07819
